EPA File No.,Complainant/Attorney,Date of Title VI complaint,Accused Agency,Claim of Discrimination,Concern Employment Discrimination? Y/N,Grievance Summary,Neighborhood,City,State,County,Date EPA received complaint,Complaint filed within 180 day limit? ,Complaint describes Title VI prohibited discrimination? ,Accused agency receives EPA funding? ,OCR Review Ruling,Referred agency,Date OCR sent review response to complainant,OCR InvestigationDate ,Final Adjudication & Reason,CPI OCR FINAL INVESTIGATION DATE ,Documents
04R-09-R9,Don't Waste Arizona,6/26/09,Maricopa County Air Quality Dept.,RACE,No,"Complaint alleged a sand and gravel facility was operating in violation of its permits, to the detriment of Latino residents nearby.","Area near Fisher Sand & Gravel, 3826 South 28th Street",PHOENIX,AZ,MARICOPA COUNTY,6/26/09,N/A,N/A,N/A,Rejection,,5/20/10,,Denied - Moot,,https://www.documentcloud.org/documents/2162443-epa_04r-09-r9.html
04R-10-R9,The City Project,8/3/09,"California Resources Agency, State of California","RACE, LOW INCOME",No,Complaint alleged a plan to close up to 100 state parks in California would disproportionately affect people of color and the poor. ,,,CA,,2/1/10,N/A,N/A,N/A,No Review,,4/27/10,,Closed - Referred,4/27/10,https://www.documentcloud.org/documents/2162444-epa_04r-10-r9.html
04R-11-R4,Redacted,12/3/10,"Alabama Dept. of Environmental Management, Lowndes County, Perry County","RACE, LOW INCOME",No,"Complaint alleged local officials allowed landfills, coal ash plants,  rock quarries, and chemical plants into the community despite health risks and without concern for environmental racism.",,PERRYVILLE,AL,PERRY COUNTY,5/3/11,N/A,N/A,N/A,No Review,,9/19/11,,Closed - Withdrawn,10/12/11,https://www.documentcloud.org/documents/2162445-epa_04r-11-r4.html
04R-13-R6,Redacted,12/26/12,Walker County Texas Commissioners,,No,Complaint alleged the approval of a landfill did not take into account the objections of minority residents; also alleged a meeting in violation of open-meeting laws. ,,,TX,WALKER COUNTY,2/7/13,N/A,N/A,No,Rejection,,12/20/13,,Denied - Financial,,https://www.documentcloud.org/documents/2162446-epa_04r-13-r6.html
04R-97-R6,"St. James Citizens for Jobs & the Environment, Louisiana Environmental Action Network, St. John Citizens for Environmental Justice, Ascension Parish Residents Against Toxic Pollution, Gulf Coast Tenants Association, River Area Planning Group, & Southern Christian Leadership Conference",5/6/97,Louisiana Dept. of Enviornmental Quality,"RACE, COLOR",No,Complaint alleged a permit to approve a PVC production complex in the middle of a community that already had six other facilities showed a pattern of discrimination. ,,CONVENT,LA,ST. JAMES PARISH,5/6/97,N/A,N/A,N/A,No Review,,12/24/02,,Closed - Informally Resolved,4/4/05,https://www.documentcloud.org/documents/2162447-epa_04r-97-r6.html
04R-98-R5,Alum Crest Acres Association ,9/28/97,"Ohio EPA, City of Columbus",RACE,No,Complaint alleged state development policies were unfairly targeting minority communities as sites for chemical companies. ,South Side,COLUMBUS,OH,,9/28/97,Yes,Yes,Yes,Accepted,,2/17/00,3/24/03,Dismissed,3/24/03,https://www.documentcloud.org/documents/2162448-epa_04r-98-r5.html
04R-99-R2,Congressman Vito Fossella,3/8/99,New York City Dept. of Sanitation,,No,Complaint alleged the operation of the Fresh Kills Landfill discriminated against residents of Staten Island,Fresh Kills,STATEN ISLAND,NY,STATEN ISLAND COUNTY,3/1/99,No,No,Yes,Rejection,,3/1/01,,Denied - Claims,,https://www.documentcloud.org/documents/2162449-epa_04r-99-r2.html
05R-00-R6,"Caring Parents of Geismar, Ascension Parish Residents Against Toxic Pollution, Concerned Citizens of Iberville Parish, & the Louisiana Environmental Action Network",7/11/00,"Louisiana Dept. of Environmental Quality, State of Louisiana",RACE,No,Complaint alleged approval of air permits for a polypropylene facility would have a disparate impact on residents. ,,"GEISMAR, ALSEN, NORTH BATON ROUGE",LA,IBERVILLE PARISH,7/1/00,N/A,N/A,N/A,No Review,,1/4/02,,Dismissed without prejudice,11/3/03,https://www.documentcloud.org/documents/2162450-epa_05r-00-r6.html
05R-01-R6,Redacted,4/25/01,"Oklahoma Dept. of Environmental Quality, City of Henryetta","RACE, RETALIATION",No,"Complaint alleged a lack of public hearings in Native American communities regarding a Superfund site, inadequate air monitoring and adverse impacts from contaminated soil. ",,HENRYETTA,OK,,4/1/01,No,N/A,N/A,Rejection,,10/18/01,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162451-epa_05r-01-r6.html
05R-02-R9,Concerned Residents of South Phoenix,4/19/02,"Arizona Emergency Response Commission, Maricopa County Local Emergency Planning ",RACE,No,Complaint alleged inadequate state oversight of the implementation of an emergency planning law. ,South Phoenix,PHOENIX,AZ,MARICOPA COUNTY,4/19/02,Yes,Yes,Yes,Accepted,,10/21/05,4/12/07,Closed - Withdrawn,4/12/07,https://www.documentcloud.org/documents/2162452-epa_05r-02-r9.html
05R-03-R6,PoncaTribe,8/21/03,Oklahoma Dept. of Environmental Quality ,"RACE, NATIONAL ORIGIN",No,Complaint alleged a company did not provide equal remedies to white and minority residents whose property was polluted.,Ponca Tribe,PONCA CITY,OK,KAYE COUNTY,8/21/03,Yes,Yes,Yes,Accepted,,12/13/04,10/15/09,Dismissed,10/15/09,https://www.documentcloud.org/documents/2162453-epa_05r-03-r6.html
05R-04-R5,Redacted,5/23/04,Indiana Dept. of Environmental Management,"RACE, LOW INCOME",No,Complaint alleged insufficient notification about a pending construction permit for a waste processing facility. ,,"GARY, EAST CHICAGO",IN,,6/17/04,Yes,Yes,Yes,Accepted,,5/24/07,12/30/10,Dismissed,12/30/10,https://www.documentcloud.org/documents/2162454-epa_05r-04-r5.html
05R-05-R10,Confederated Tribes of the Umatilla Indian Reservation ,2/11/05,Oregon Dept. of Environmental Quality,"RACE, NATIONAL ORIGIN",No,Complaint alleged state water quality standards did not adequately take into account the high fish consumption rate of the Umatilla and was discriminatory.,Umatilla ,,OR,,1/27/06,No,N/A,N/A,Rejection,,7/26/06,,Denied - Untimely,,https://www.documentcloud.org/documents/2162455-epa_05r-05-r10.html
05R-06-R4,Title VI Action Committee,5/22/06,"Tennessee Dept. of Environment & Conservation, City of Clarksville",,No,Complaint alleged insufficient adherence to Title VI by the city.,,CLARKSVILLE,TN,,5/22/06,N/A,No,N/A,Rejection,,1/10/08,,Denied,,https://www.documentcloud.org/documents/2162456-epa_05r-06-r4.html
05R-07-R6,Redacted,6/9/07,EPA Region 6,RACE,No,Complaint alleged lack of response from regional EPA regarding contamination around a manufacturing facility.,Hamilton Park,DALLAS,TX,,6/18/07,N/A,N/A,No,Rejection,,10/3/07,,Denied - Financial,,https://www.documentcloud.org/documents/2162457-epa_05r-07-r6.html
05R-08-R8,Yankton Sioux Tribe,6/21/08,South Dakota Dept. of Enviornmental and Natural Resources,RACE,No,Complaint alleged lack of meaningful involvement for Native American residents concerned about concentrated animal feeding operations. ,,MARTY,SD,,8/11/08,Yes,Yes,Yes,Accepted,,3/11/09,2/4/11,Dismissed,2/4/11,https://www.documentcloud.org/documents/2162458-epa_05r-08-r8.html
05R-09-R4,Redacted,7/11/09,"Alabama Dept. of Environmental Management, Jefferson County Dept. of Enviornmental Service",RACE,Yes,Complaint alleged employment discrimination and inadequate voluntary emissions testing. ,,BIRMINGHAM,AL,JEFFERSON COUNTY,7/30/09,N/A,N/A,N/A,Rejection,,10/15/09,,Denied - Claim,,https://www.documentcloud.org/documents/2162459-epa_05r-09-r4.html
05R-11-R4,Redacted,1/27/11,Travis County Commissioners Court,"RACE, NATIONAL ORIGIN",No,Complaint alleged discriminatory siting of a gravel mine. ,,AUSTIN (NEAR),TX,(EASTERN) TRAVIS COUNTY,5/13/11,N/A,N/A,No,Rejection,,8/10/11,,Denied - Financial,,https://www.documentcloud.org/documents/2162460-epa_05r-11-r4.html
05R-12-R2,La Montalva Ensenada Community,6/24/11,Puerto Rico Aqueduct and Sewer Authority,,No,Complaint alleged the failure to connect several homes to the local sewer system was discriminatory. ,La Montalva/Ensenada Ward,GUANICA,PR,,4/11/12,N/A,No,N/A,Rejection,,9/28/12,,Denied - Claim (referred),,https://www.documentcloud.org/documents/2162461-epa_05r-12-r2.html
05R-13-R10,Redacted,2/1/13,,,No,Complainant sent several federal forms with incoherent writings on them. No specific allegations presented.  ,,SEATTLE,WA,,2/7/13,N/A,N/A,N/A,Rejection,,4/24/13,,Denied - Claims,,https://www.documentcloud.org/documents/2162462-epa_05r-13-r10.html
05R-97-R1,Penobscot Indian Nation,4/16/97,Maine Dept. of Environmental Protection,RETALIATION,No,Complaint alleged a company was pressuring state officials to stop sampling and fish-monitoring activities as retaliation for the tribe filing a Title VI complaint regarding the company's actions.  ,Penobscot indian Nation,,ME,,5/1/97,N/A,N/A,N/A,No Review,,10/30/97,,Closed - Withdrawn,10/30/97,https://www.documentcloud.org/documents/2162463-epa_05r-97-r1.html
05R-98-R5,St. Francis Prayer Center,6/9/98,"Michigan Dept. of Environmental Quality, Air Quality Division","RACE, LOW INCOME",No,Complaint alleged a recycling mill permit was sped through the process to avoid  orders requiring an environmental impact statement.,Intersection of Lewis Road and East Stanley Road,FLINT,MI,GENESEE COUNTY,6/17/98,Yes,Yes,Yes,Accepted,,8/17/98,10/30/98,Dismissed,10/30/98,https://www.documentcloud.org/documents/2162464-epa_05r-98-r5.html
05R-99-R6,"People Organized in Defense of the Earth and her Resources, & El Concilio",3/29/99,City of Austin,RACE,No,Complaint alleged the city's reopening of a power plant violated a prior commitment to eradicate environmental inequity.,Holly Street,AUSTIN,TX,TRAVIS COUNTY,3/29/99,Yes,N/A,No,Rejection,,12/27/99,,Denied - Financial,,https://www.documentcloud.org/documents/2162465-epa_05r-99-r6.html
05Rad-10-R6,Redacted,2/22/10,Louisiana Dept. of Environmental Quality,"RACE, DISABILITY, AGE",No,Complaint alleged improper exposure to radiation contamination among residents and lax enforcement by state officials. ,,HARVEY,LA,JEFFERSON PARISH,2/1/10,Yes,Yes,Yes,Accepted,Federal Mediation and Conciliation Services,7/23/10,,Dismissed without prejudice,8/8/11,https://www.documentcloud.org/documents/2162466-epa_05rad-10-r6.html
06Dr-12-R4,Redacted  ,1/7/12,"Alabama Public Service Commission, Alabama State Personnel Dept.","DISABILITY, WHISTLEBLOWER STATUS",Yes,Complaint alleged a pattern of harrassment that led to a formal blackballing of complainant from state employment. ,,MONTGOMERY,AL,,1/13/12,N/A,N/A,No,Rejection,"Equal Employment Opportunity Commission, Birmingham District Office",7/17/12,,Closed - Referred,7/17/12,https://www.documentcloud.org/documents/2162468-epa_06dr-12-r4.html
06R-00-R2,"Concerned Citizens of Withers Street, Cooper Park Tenants Association, El Puente, Hispanos Unidos de Greenpoint, Los Sures Housing Corporation, North Brooklyn Development Corporation, St. Cecilia's Church Parish Council, Make a Difference Community Association Project, Metropolitan Housing Tenants Association, Neighbors Against Garbage, Williamsburg/Greenpoint Organizations United for Trash Reduction and Garbage Equity, and U.S. Rep. Nydia Velazquez (12th Dist. NY)",7/24/00,New York City Dept. of Sanitation,"RACE, LOW INCOME",No,Complaint alleged discriminatory siting and concentration of waste-transfer stations and other facilities in Greenpoint-Williamsburg area of Brooklyn.,Greenpoint/Williamsburg and Red Hook,BROOKLYN,NY,,7/28/00,No,Yes,Yes,Rejection,,9/27/01,,Denied - Untimely,,https://www.documentcloud.org/documents/2162469-epa_06r-00-r2.html
06R-01-R9,EnviroWatch,4/15/01,Hawaii Dept. of Land and Natural Resources,"RACE, NATIONAL ORIGIN",No,Complaint alleged state inadequately enforced several environmental laws. ,,WAIMANALO,HI,,4/1/01,N/A,No,N/A,Rejection,,10/15/01,,Denied - Moot,,https://www.documentcloud.org/documents/2162470-epa_06r-01-r9.html
06R-02-R6,Chaparral Community Health Council,7/23/02,New Mexico Environment Dept.,RACE,No,Complaint alleged a landfill permit was issued without taking into account the impact on minority residents. ,,CHAPARRAL,NM,,7/1/02,Yes,Yes,Yes,Accepted,,5/25/04,7/26/06,Dismissed,7/26/06,https://www.documentcloud.org/documents/2162472-epa_06r-02-r6.html
06R-03-R4,Redacted,9/3/03,"Alabama Dept. of Environmental Management, Tallapoosa County Commission","RACE, INCOME",No,Complaint alleged the public-comment period for a landfill didn't allow for meaningful participation for African-American residents. ,Ashurst Bar/Smith ,EAST TALLASSEE,AL,TALLAPOOSA COUNTY ,12/15/03,Yes,Yes,Yes,Accepted,,9/7/05,,Pending,N/A,https://www.documentcloud.org/documents/2162473-epa_06r-03-r4.html
06R-04-R4,Black Creek Muscogee Nations,5/24/04,Atlanta Housing Authority,,No,Complaint alleged the relocation of a community potentially violated Title VI. ,Gilbert Gardens Community,ATLANTA,GA,FULTON COUNTY,5/24/04,No,N/A,No,Rejection,,5/10/06,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162474-epa_06r-04-r4.html
06R-05-R6,Family Area Ministry & Education,5/23/05,Texas Railroad Commission,RACE,No,"Complaint alleged that a saltwater disposal company was allowed to operate a disposal well improperly, causing groundwater contamination.",Community off County Road 329,DEBERRY,TX,,5/23/05,N/A,N/A,No,Rejection,US Transportation Department,N/A,,Denied - Financial,,https://www.documentcloud.org/documents/2162475-epa_06r-05-r6.html
06R-06-R4,Redacted,6/23/06,"U.S. Army Corps of Engineers, Tennessee Dept. of Environment & Conservation",,No,"Complainant sought an investigation into the DEC's Title VI policies and procedures ""because with all these civil rights lawsuits and Title VI complaints filed against the city, something must be wrong."" ",,CLARKSVILLE,TN,,6/23/06,N/A,N/A,N/A,Rejection,,4/29/08,,Denied - Claims,,https://www.documentcloud.org/documents/2162476-epa_06r-06-r4.html
06R-07-R9,"Don't Waste Arizona, Citizens Advisory Committee for South Phoenix Multi-media toxics reduction project",7/11/07,Arizona Dept. of Environmental Quality,RACE,No,Complaint alleged the state's failure to properly administer a grant disproportionately affected the community. ,"12 square miles bounded by Union Pacific Railroad tracks, Broadway Road, 25th Avenue and 24th Street. ",PHOENIX,AZ,,7/12/07,No,N/A,N/A,Rejection,,5/27/08,,Denied - Untimely,,https://www.documentcloud.org/documents/2162478-epa_06r-07-r9.html
06R-08-R9,"Don't Waste Arizona, Concerned Residents of South Phoenix",8/15/08,Maricopa County Air Quality Dept.,RACE,No,Complaint alleged minority interests were not adequately represented during the interview process for a new air quality director. ,,PHOENIX,AZ,MARICOPA COUNTY,8/15/08,N/A,No,N/A,Rejection,,1/27/09,,Denied - Claims,,https://www.documentcloud.org/documents/2162479-epa_06r-08-r9.html
06R-09-R9,Don't Waste Arizona,8/12/09,Maricopa County Air Quality Dept.,RACE,No,Complaint alleged a sand and gravel facility was operating in violation of its permits.,Area near Fisher Sand and Gravel,PHOENIX,AZ,,8/12/09,Yes,Yes,Yes,Accepted,EPA's Enforcement and Compliance National Compliance Monitoring Program ,11/9/09,5/20/10,Dismissed,5/20/10,https://www.documentcloud.org/documents/2162480-epa_06r-09-r9.html
06R-10-R10,Redacted,12/1/09,"U.S. Army Corps of Engineers, City of Salem",LOW INCOME,No,Complaint alleged changes to zoning classifications created environmental problems for local residents. ,,SALEM,OR,,3/12/10,No,N/A,N/A,Rejection,,6/15/10,,Denied - Untimely,,https://www.documentcloud.org/documents/2162481-epa_06r-10-r10.html
06R-11-R9,"Don't Waste Arizona, Concerned Residents of South Phoenix",7/11/11,City of Phoenix,RACE,No,Complainant alleged the process for administering a grant to rehab a former landfill was developed without resident input. ,Del Rio area,PHOENIX,AZ,,6/26/12,N/A,N/A,No,Rejection,,4/25/13,,Denied - Moot,,https://www.documentcloud.org/documents/2162482-epa_06r-11-r9.html
06R-13-R2,Elm Park Civic Association,2/18/13,U.S. Coast Guard,RACE,No,Complainant said Coast Guard failed to provide proper Spanish-language translation at public meetings and of pertinent documents. ,Elm Park,NEW YORK CITY,NY,,2/19/13,N/A,N/A,No,Rejection,,9/19/13,,Denied - Claims,,https://www.documentcloud.org/documents/2162483-epa_06r-13-r2.html
06R-97-R6,South Grand Lake Area Chamber of Commerce,4/28/97,"Hardage Site Remedy Corporation, Hardage Steering Committee, Hardage Criner Landfill","RACE, NATIONAL ORIGIN",No,Complainant believed his farm next to a landfill was not bought out because there was an loan against it and he was Native American.  ,,LINDSEY,OK,,5/1/97,N/A,N/A,No,Rejection,,7/2/97,,Denied - Financial,,https://www.documentcloud.org/documents/2162484-epa_06r-97-r6.html
06R-98-R3,Residents Involved in Saving the Environment Inc. ,5/28/98,Virginia Dept. of Environmental Quality,"RACE, LOW INCOME",,Complaint alleged discriminatory siting of a sanitary landfill.,,,VA,KING AND QUEEN COUNTIES ,6/1/98,No,N/A,No,Rejection,,8/10/98,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162485-epa_06r-98-r3.html
06R-99-R4,Redacted,3/16/99,North Carolina Dept. of Environment & Natural Resources,RACE,No,Complaint alleged the issuance of septic permits would disproportionately affect a minority community. ,Junaluska,BOONE,NC,WATAUGA COUNTY,3/16/99,Yes,N/A,No,Rejection,,7/26/99,,Denied - Financial,,https://www.documentcloud.org/documents/2162486-epa_06r-99-r4.html
07H-02-R4,Redacted,6/7/02,Lowndes County Board of Supervisors,DISABILITY,No,Complaint alleged county used pesticides to which residents had allergies and refused to re-route runoff from their properties. ,,,MS,LOWNDES COUNTY,7/1/02,N/A,N/A,No,Rejection,,8/12/04,,Denied - Financial,,https://www.documentcloud.org/documents/2162487-epa_07h-02-r4.html
07R-00-R2,"Rep. Nydia Velazquez, Bouroughs Allied for Recycling and Garbage Equity, Cobble Hill Association, Groups Against Garbage Sites, Neighbors Against Garbage, the Red Hook Civic Association",7/24/00,New York City Dept. of Sanitation,RACE,No,Complaint alleged discriminatory siting and concentration of waste transfer stations in the Red Hook area of Brooklyn.,Red Hook,BROOKLYN,NY,,7/28/00,No,Yes,Yes,Rejection,,9/27/01,,Denied - Untimely,,https://www.documentcloud.org/documents/2162488-epa_07r-00-r2.html
07R-01-R6,2100 N. Owasso Block Club and Adjacent Neighbors Neighborhood Association,4/4/01,N/A,,,Complaint alleged the city was improperly using urban-renewal funds. ,,TULSA,OK,,6/1/01,N/A,N/A,N/A,No Review,,3/1/02,,Denied - Claims,3/1/02,https://www.documentcloud.org/documents/2162489-epa_07r-01-r6.html
07R-03-R6,Community In-Power Development Association,9/12/03,Texas Commission on Environmental Quality,"RACE, INCOME",,Complaint alleged a lack of meaningful public participation in the expansion of a facility. ,Westside,PORT ARTHUR,TX,JEFFERSON COUNTY,9/26/03,No,N/A,N/A,Rejection,,6/15/04,,Denied - Untimely,,https://www.documentcloud.org/documents/2162490-epa_07r-03-r6.html
07R-04-R6,Freedmen's Town Association,8/31/04,City of Houston,,No,Complainant alleged the city refused to transfer property that was identified as a potential Brownfields redevelopment program to the Freedmen's Town Association. ,,HOUSTON,TX,,8/31/04,N/A,No,N/A,Rejection,,4/1/05,,Denied - Claims,,https://www.documentcloud.org/documents/2162493-epa_07r-04-r6.html
07R-05-R9,"Youth United for Community Action, Ujima Security Council ",6/11/05,"California EPA, Dept. of Toxic Substances Control ","RACE, LOW INCOME",No,"Complaint alleged longstanding violations for a facility, a delayed environmental impact report and a lack of meaningful language services and public participation during the comment period. ",,EAST PALO ALTO,CA,,6/20/05,N/A,N/A,N/A,No Review,,3/26/10,,Dismissed - Moot,3/26/10,https://www.documentcloud.org/documents/2162506-epa_07r-05-r9.html
07R-06-R4,Redacted,6/23/06,City of Clarksville,RACE,No,Complaint alleged the city was approving environmental programs without input from the minority community.  ,,CLARKSVILLE,TN,,6/23/06,N/A,N/A,N/A,Rejection,,4/29/08,,Denied - Claims,,https://www.documentcloud.org/documents/2162507-epa_07r-06-r4.html
07R-07-R6,Citizens League for Environmental Action Now,7/17/07,Veolia Environmental Services,"RACE, LOW INCOME",No,"Complaint alleged a highly toxic chemical was being allowed to enter Port Arthur, Texas, because it was a predominantly minority community. ",,PORT ARTHUR,TX,,7/25/07,N/A,N/A,No,Rejection,,2/14/08,,Denied - Financial ,,https://www.documentcloud.org/documents/2162508-epa_07r-07-r6.html
07R-08-R6,Redacted,6/24/08,Galveston County Health District,RACE,No,Complaint alleged discrimination due to a lack of a continuous air- monitoring station installed in a neighborhood near petrochemical and storage tank facilities. ,East Side,TEXAS CITY,TX,,6/24/08,Yes,Yes,Yes,Accepted,,3/3/09,9/28/12,Dismissed,9/28/12,https://www.documentcloud.org/documents/2162509-epa_07r-08-r6.html
07R-09-R2,Redacted,4/11/09,New York City Dept. of Environmental Protection,RACE,No,Complainant said state and city officials discriminated by damaging two properties owned by the complainant,,NEW YORK CITY,NY,,9/9/09,No,No,No,Rejection,,2/18/10,,Denied - Untimely,,https://www.documentcloud.org/documents/2162512-epa_07r-09-r2.html
07R-11-R4,Redacted,5/13/11,Georgia Dept. of Corrections ,RACE,No,"Complaint alleged that reopening a probation detention center would subject the community to unequal exposure to power lines, and add a landfill to the area. ",Area adjacent to JC Larmore Probation Detention Center facility,FAIRBURN,GA,FULTON COUNTY,6/6/11,N/A,N/A,No,Rejection,"US Justice Department, Georgia Public Service Commission ",1/3/12,,Closed - Referred,2/21/12,https://www.documentcloud.org/documents/2162513-epa_07r-11-r4.html
07R-12-R4,West End Revitalization Association,4/3/12,North Carolina Dept. of Environmental & Natural Resources,,No,Complaint alleged a draft study on the health effects of oil and gas development didn't fully consider environmental laws.,,,NC,,5/12/12,N/A,N/A,N/A,Rejection,,9/20/12,,Denied- Claims,7/23/13,https://www.documentcloud.org/documents/2162514-epa_07r-12-r4.html
07R-13-R9,Redacted,2/3/13,Methodist Hospital,"NATIONAL ORIGIN, DISABILITY, RETALIATION",No,Complainant alleged subpar care at a hospital due to a disability.,,ARCADIA,CA,,2/20/13,N/A,N/A,No,Rejection,US Health and Human Services,12/20/13,,"Denied - Financial, Referred",,https://www.documentcloud.org/documents/2162515-epa_07r-13-r9.html
07R-97-R6,"Residents of Hudspeth County, Save Sierra Blanca, Sierra Blanca Legal Defense Fund & the El Paso Regional Group of the Rio Grande Chaper of the Sierra Club",4/28/97,Texas Natural Resource Conservation Commission ,"RACE, COLOR, NATIONAL ORIGIN, INCOME",,Complaint alleged officials were forcing Sierra Blanca residents to bear the risks of hazardous waste from three states. ,,SIERRA BLANCA,TX,HUDSPETH COUNTY,5/1/97,N/A,N/A,No,Rejection,EPA's Office of Enforcement and Compliance Assurance and Office of International Activities,7/24/97,,Denied - Untimely,,https://www.documentcloud.org/documents/2162516-epa_07r-97-r6.html
07R-98-R6,"North Baton Rouge Environmental Association, the Steering Committee to Stop Natural Resources Recovery, & Louisiana Environmental Action Network",6/8/98,Louisiana Dept. of Environmental Quality,RACE,,Complaint alleged a permit to build a construction debris landfill in community was discriminatory because the area was already overburdened. ,Alsen,BATON ROUGE,LA,EAST BATON ROUGE PARISH,6/8/98,Yes,Yes,Yes,Accepted,,8/17/98,1/19/05,Closed - Settlement,4/18/05,https://www.documentcloud.org/documents/2162517-epa_07r-98-r6.html
07R-99-R7,Redacted,3/23/99,EPA Region 7,RACE,No,Complaint alleged that the proposed relocation of EPA Region 7's testing laboratory disproportionately impacted African-Americans by exposing them to nearly 600 hazardous chemicals.,State Avenue,KANSAS CITY,KS,,3/23/99,Yes,N/A,No,Rejection,EPA's Office of Environmental Justice,8/4/99,,Denied - Financial,,https://www.documentcloud.org/documents/2162518-epa_07r-99-r7.html
08R-00-R4,"Florida City and Homestead, Coalition of Florida Farmworker Organizations, Dade County Farm Burearu, New Visions for South Dade, Greater New Covenant Missionary Baptist Church, RCH Haitian Community Radio and Homestead Air Base Developers (now: Equal Justice Coalition)",3/30/00,White House Council on Environmental Quality,RACE,,Complaint alleged several officials kept the local redevelopment agency from using the Air Force base. ,,"HOMESTEAD, FLORIDA CITY",FL,,3/30/00,N/A,No,No,Rejection,EPA's Office of Environmental Justice,10/30/00,,Denied - Financial,,https://www.documentcloud.org/documents/2162520-epa_08r-00-r4.html
08R-01-R5,"Flint-Genesee United for Action, Safety and Environmental Justice",6/25/01,Michigan Dept. of Environmental Quality,RACE,No,Complaint alleged a permit allowing a scrap-metal shredder to be installed in a black community was discriminatory. ,,FLINT,MI,GENESEE COUNTY,7/9/01,Yes,Yes,Yes,Accepted,,1/2/02,6/23/06,Closed - Informally Resolved,6/23/06,https://www.documentcloud.org/documents/2162524-epa_08r-01-r5.html
08R-02-R5,Redacted,1/11/00,,RACE,No,Complaint alleged health effects of living near a chemical plant and two landfills amounted to discrimination against an African-American community. ,Winton Hills,CINCINNATI,OH,,8/1/02,No,No,No,Rejection,,8/17/04,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162525-epa_08r-02-r5.html
08R-03-R9,Native Coalition for Medicine Lake Highlands Defense,9/24/03,Siskiyou County Air Pollution Control District,"RACE, COLOR, NATIONAL ORIGIN",No,Complaint alleged officials approved permits for construction and operation of a major geothermal power plant on sacred tribal lands. ,Medicine Lake Highlands,,CA,,10/2/03,,,,No Review,,N/A,,Dismissed without prejudice,3/11/09,https://www.documentcloud.org/documents/2162526-epa_08r-03-r9.html
08R-04-R5,Redacted,6/4/04,Michigan Dept. of Environmental Quality,"INCOME, EDUCATION",No,Complaint alleged the state had given false statements about injection waste wells discriminated based on income. ,,ROMULUS,MI,,6/3/04,N/A,No,N/A,Rejection,,11/15/05,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162527-epa_08r-04-r5.html
08R-05-R4,Title VI Action Committee,5/17/05,"Tennessee Dept. of Environment & Conservation, City of Clarksville",,No,Complaint alleged city and state officials weren't complying with Title VI and requested a compliance review. ,,CLARKSVILLE,TN,,5/17/05,N/A,No,N/A,Rejection,,11/15/05,,Denied - Claims,,https://www.documentcloud.org/documents/2162528-epa_08r-05-r4.html
08R-06-R4,Redacted,6/20/06,City of Clarksville,,No,"Complaint alleged the city failed to report several civil rights and discrimination lawsuits that it lost in federal court, in defiance of Title VI. ",,CLARKSVILLE,TN,,6/23/06,N/A,No,N/A,Rejection,,12/22/07,,Denied - Claims,,https://www.documentcloud.org/documents/2162529-epa_08r-06-r4.html
08R-07-R6,Citizens Against Contamination,10/27/06,,,No,Complaint alleged that elderly and minority residents were not relocated as a chemical facility came to the area and weren't notified about potential groundwater contamination.,,MOSSVILLE,LA,CALCASIEU PARISH,7/25/07,No,N/A,No,Rejection,,5/27/08,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162530-epa_08r-07-r6.html
08R-09-R4,Redacted,2/24/09,"South Carolina Dept. of Health & Enviornmental Control, City of Charleston",,No,Complainant alleged residents were not compensated before a new port terminal received a final state permit.,Howard Heights,NORTH CHARLESTON,SC,,9/1/09,N/A,N/A,N/A,Rejection,,5/4/10,,Denied - Claims,,https://www.documentcloud.org/documents/2162531-epa_08r-09-r4.html
08R-10-R5,Summer Toxic,4/8/10,,"RACE, INCOME",No,"Complaint alleged discriminatory effects of a landfill, chemcial plants and other facilities near a minority community. ",Winton Hills (Zip code 45232),CINCINNATI,OH,,4/8/10,N/A,No,No,Rejection,,7/23/10,,Denied - Claims,,https://www.documentcloud.org/documents/2162532-epa_08r-10-r5.html
08R-11-R4,Citizens of South Brooksville ,6/19/11,"Florida Dept. of Environmental Protection, City of Brooksville",RACE,No,Complaint alleged the city allowed 10 contaminated sites to emit chemicals into the community for decades and denied minority residents meaningful public participation. ,South Brooksville,BROOKSVILLE,FL,HERNANDO COUNTY,7/21/11,No,No,No,Rejection,US Health and Human Services,4/25/12,,"Denied - Financial, Claims,  Referred",,https://www.documentcloud.org/documents/2162534-epa_08r-11-r4.html
08R-12-R5,"RecycleGuy, Inc.",6/5/11,City of Huntington Board of Public Works & Safety,,No,"Complaint alleged the city discriminated by not allowing all companies to use the county landfill, which has lower rates. ",,HUNTINGTON,IN,,5/14/12,N/A,No,No,Rejection,,9/26/12,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162535-epa_08r-12-r5.html
