epa_complaint_#,named_entity,clean_date_received,current_status,clean_current_status,clean_current_status_date,clean_current_status_reason,clean_alleged_discrimination_basis,0,1,clean_referred_agency,time_elapsed_since_update
40d-16-r4,"habitat for humanity,jacksonville fl",2016-08-30,"rejected 11/3/2017: lack ofrecipient jurisdiction, providedfdep contact re: enviro concerns",rejected ,2017-11-03,enviro concerns,,,,,430.0
41d-16-r4,"city of jacksonville, fl",2016-08-30,rejected 11/3/2017: not timelyfiled,rejected ,2017-11-03,not timelyfiled,,,,,430.0
42d-16-r9,baaqmd,2016-08-31,rejected 8/30/2018:investigation unwarranted - issueraised in complaint resolved,rejected ,2018-08-30,,,,,,729.0
,,,allegation of discrimination –referred corresp. to epa hq andregion 4 drinking water staff,allegation of discrimination –referred corresp. to epa hq andregion 4 drinking water staff,,,,,,epa,
44rno-16-r9,hawaii dept of ag,2016-09-15,resolved through informalresolution agreement:5/30/2019; in monitoring,resolved through informalresolution agreement,2019-05-30,,"race,national origin",race,national origin,,987.0
45rno-16-r9,hawaii agribusinessdev corp,2016-09-15,resolved through informalresolution agreement:8/29/2019; in monitoring,resolved through informalresolution agreement,2019-08-29,,"race,national origin",race,national origin,,1078.0
46r-16-r4,lee county (fl) schooldistrict,2016-09-22,rejected 5/1/2017: lack ofjurisdiction,rejected ,2017-05-01,lack ofjurisdiction,"race,national origin",race,national origin,,221.0
47u-16-r4,nc dept of publicsafety,2016-09-12,rejected and referred (doj)11/9/2017: lack of jurisdiction,rejected and referred (doj),,lack of jurisdiction,,,,(doj),
48x-16-r6,lewis unit (tx),2016-09-23,resolved and closedadministratively 12/19/2016:provided epa contact re:injection of flotation foam forboats,resolved and closedadministratively ,2016-12-19,,,,,,87.0
01r-15-r4,al dept of corrections,2015-01-05,rejected and referred (doj)3/27/2015: lack of jurisdiction,rejected and referred (doj),,lack of jurisdiction,,,,(doj),
02r-15-r3,balt. county (md) deptof public works,2015-01-23,rejected 3/31/2015: lack ofcurrent jurisdiction,rejected ,2015-03-31,lack ofcurrent jurisdiction,race,race,,,67.0
03r-15-r4,jefferson co (al) deptof health – abc coke,2015-02-06,resolved through informalresolution agreement: 7/2/2019;in monitoring,resolved through informalresolution agreement,2019-07-02,7/2/2019;in monitoring,race,race,,,1607.0
04r-15-r4,al dept of corrections– limestone corr fac,2015-02-09,rejected and referred (doj)4/3/2015: lack of jurisdiction,rejected and referred (doj),,lack of jurisdiction,,,,(doj),
05d-15-r6,laredo (tx); webb co(tx) utilities dept;tceq,2015-02-18,"rejected 1/21/2016: lack ofjurisdiction (city and county),lack of discriminatory act",rejected ,2016-01-21,"lack ofjurisdiction (city and county),lack of discriminatory act",,,,,337.0
06r-15-r6,ameripure oysterplant; city of franklin(la),2015-02-24,"rejected 5/5/2015 & 2/11/2016:lack of jurisdiction, untimelyfiled",rejected 5/5/205 & ,2016-02-11,,race,race,,,352.0
07r-15-r6,baton rouge (la),2015-02-25,rejected 8/31/2016: lack ofdiscriminatory act,rejected ,2016-08-31,lack ofdiscriminatory act,race,race,,,553.0
08r-15-r4,jefferson co (al) deptof health – walter,2015-03-02,resolved through informalresolution agreement: 7/2/2019;in monitoring,resolved through informalresolution agreement,2019-07-02,7/2/2019;in monitoring,race,race,,,1583.0
09r-15-r9,calif. epa/dept of toxicsubstances control,2015-03-19,resolved and closed throughadr settlement: 9/13/2016,resolved and closed throughadr settlement,2016-09-13,9/13/2016,race,race,,,544.0
10u-15-r8,nd dept of agriculture,2015-04-13,rejected and referred (usda)7/8/2015: lack of jurisdiction,rejected and referred (usda),,lack of jurisdiction,,,,(usda),
12u-15-r5,auto body shop,2015-06-09,"rejected 4/14/2016: lack ofdiscriminatory act, suggestedcontact usdol/osha",rejected ,2016-04-14,"lack ofdiscriminatory act, suggestedcontact usdol/osha",,,,,310.0
13u-15-r4,nc dept of publicsafety - pamlico corrinst,2015-06-24,rejected and referred (doj)8/20/2015: lack of jurisdiction,rejected and referred (doj),,lack of jurisdiction,,,,(doj),
14u-15-r3,kinzer drilling; energycorp; wv dep-abandoned mines,2015-06-24,"rejected 3/17/2017: lack ofjurisdiction (kinzer, energy corp);lack of discrim act (wvdep) –suggested contact doi/osmre,wv enviro council, wv riverscoalition",rejected ,2017-03-17,"lack ofjurisdiction (kinzer, energy corp);lack of discrim act (wvdep) –suggested contact doi/osmre,wv enviro council, wv riverscoalition",,,,,632.0
15u-15-r4,nc dept of publicsafety - eastern corrinst,2015-06-30,"rejected and referred (usdoj,nc dhhs, usdol/osha)8/21/2015: lack of jurisdiction","rejected and referred (usdoj,nc dhhs, usdol/osha)",,lack of jurisdiction,,,,"(usdoj,nc dhhs, usdol/osha)",
16d-15-r3,philadelphia county(pa) assistance office,2015-06-29,rejected and referred (hhs)7/22/2015: lack of jurisdiction,rejected and referred (hhs),,lack of jurisdiction,,,,(hhs),
17x-15-r5,"rainforest inquiry(jefferson es 4thgraders, rochester,mn)",2015-05-27,referred to epa office of enviroeducation on 8/20/2015 forresponse – not a complaint,referred to epa office of enviroeducation on ,2015-08-20,,,,,epa,85.0
18r-15-r5,il epa – agrifine,2015-07-23,admin closure (withdrawn):1/27/2016,admin closure (withdrawn),2016-01-27,,race,race,,(withdrawn),188.0
19r-15-r2,nj dep – trenton hs,2015-05-26,rejected 9/14/2018:investigation unwarranted –actions already taken,rejected ,2018-09-14,,race,race,,,1207.0
20u-15-r6,"broken arrow, ok area",2015-07-10,"rejected 8/10/2015: no recipientnamed, no discriminatory act",rejected ,2015-08-10,"no recipientnamed, no discriminatory act",,,,,31.0
21u-15-r4,al dept of corrections,2015-07-21,rejected and referred (doj)8/27/2015: lack of jurisdiction,rejected and referred (doj),,lack of jurisdiction,,,,(doj),
22x-15-r6,"village villas (hotsprings, ar)",2015-08-06,"rejected 1/20/2016: lack ofjurisdiction, lack of discrim act –suggested contact hot springsnuisance abatement office",rejected ,2016-01-20,"lack ofjurisdiction, lack of discrim act –suggested contact hot springsnuisance abatement office",,,,,167.0
24u-15-r4,pipe masters (nc),2015-08-22,"rejected 3/17/2016: lack ofjurisdiction, lack of discrim act",rejected ,2016-03-17,"lack ofjurisdiction, lack of discrim act",,,,,208.0
25r-15-r6,stella-jones inc. colfaxtreating co (la),2015-08-23,rejected 9/29/2017: lack ofjurisdiction – referred eparegion 6 (existing contact),rejected ,2017-09-29,lack ofjurisdiction – referred eparegion 6 (existing contact),race,race,,,768.0
01r-14-r2,port authority ofny&nj,2014-01-27,rejected 2/2/2015: untimelyfiled,rejected ,2015-02-02,untimelyfiled,race,race,,,371.0
02r-14-r4,florida atlantic univ,2014-01-12,"rejected 4/24/2014: lack ofjurisdiction, lack ofdiscriminatory act",rejected ,2014-04-24,"lack ofjurisdiction, lack ofdiscriminatory act",race,race,,,102.0
03a-14-r6,waller county (tx);tceq,2014-03-12,rejected without prejudice10/29/2014: pending litigation,rejected without prejudice,2014-10-29,pending litigation,race,race,,,231.0
04d-14-r10,id deq; clearwatercounty (id); city oforofino (id);orofino/whiskey creekwater and sewer dist.,2014-03-24,"rejected 4/2/2015: untimelyfiled and lack of jurisdiction (1);lack of discriminatory act andlack of jurisdiction (2); lack ofdiscriminatory act, uncertaintimeliness and lack ofjurisdiction (3); lack ofdiscriminatory act and uncertaintimeliness (4)",rejected ,2015-04-02,"untimelyfiled and lack of jurisdiction (1);lack of discriminatory act andlack of jurisdiction (2); lack ofdiscriminatory act, uncertaintimeliness and lack ofjurisdiction (3); lack ofdiscriminatory act and uncertaintimeliness (4)",,,,,374.0
05r-14-r9,city of oakland (ca);port of oakland (ca);us cbp; northamerican 3pl,2014-05-09,rejected and referred (dot)10/10/2014: lack of subject-matter jurisdiction,rejected and referred (dot),,lack of subject-matter jurisdiction,race,race,,(dot),
06r-14-r9,calif dept ofcorrections and rehab,2014-06-06,rejected and referred (doj)10/1/2014: lack of jurisdiction,rejected and referred (doj),,lack of jurisdiction,race,race,,(doj),
07a-14-r9,north coast regionalwater quality controlboard (ca),2014-06-19,rejected 6/10/2015: unripe forinvestigation,rejected ,2015-06-10,unripe forinvestigation,race,race,,,356.0
,control board; losangeles unified schooldistrict; shell oil,,,,,,,,,,
09r-14-r4,nc dept of publicsafety – green corrinst,2014-07-07,rejected and referred (doj)5/5/2015: lack of jurisdiction,rejected and referred (doj),,lack of jurisdiction,race,race,,(doj),
10no-14-r10,lane regional airprotection agency (or),2014-08-05,resolved through informalresolution agreement:9/23/2019; in monitoring,resolved through informalresolution agreement,2019-09-23,,nationalorigin,nationalorigin,,,1875.0
11r-14-r4,nc deq,2014-09-03,resolved and closed throughadr settlement: 5/7/2018,resolved and closed throughadr settlement,2018-05-07,5/7/2018,race,race,,,1342.0
12nod-14-r6,lyondell chemical corp(tx),2014-08-25,"rejected 2/11/2016: untimelyfiled, lack of discriminatory act,lack of jurisdiction",rejected ,2016-02-11,"untimelyfiled, lack of discriminatory act,lack of jurisdiction",nationaloriginsection 504:disability,nationaloriginsection 504:disability,,,535.0
13r-14-r6,albuquerque-bernalillocounty air qualitycontrol board (nm);city of albuquerque airquality division,2014-09-16,pending: in informal resolutionnegotiation,pending,,in informal resolutionnegotiation,race,race,,,
14r-14-r4,nc dot,2014-09-18,rejected and referred (usdot)4/3/2017: lack of jurisdiction,rejected and referred (usdot),,lack of jurisdiction,race,race,,(usdot),
15u-14-r4,nc dept of publicsafety,2014-10-14,rejected and referred (nc deq)2/12/2016: lack of jurisdiction,rejected and referred (nc deq),,lack of jurisdiction,,,,(nc deq),
16no-14-r5,oneida reservation,2014-10-14,rejected and referred (oneidanation environmental office)4/20/2015: lack ofdiscriminatory act,rejected and referred (oneidanation environmental office),,lack ofdiscriminatory act,nationalorigin,nationalorigin,,(oneidanation environmental office),
17r-14-r4,city of atlanta (ga)watershed mgmt,2014-10-22,"admin closure 11/13/2014:complaint already w/osha,osha had sent as courtesy re:sdwa violation reporting",admin closure ,2014-11-13,,retaliation,retaliation,,,22.0
18r-14-r4,city of flovilla (ga),2014-10-23,rejected 8/28/2015: lack ofdiscriminatory act,rejected ,2015-08-28,lack ofdiscriminatory act,retaliation,retaliation,,,309.0
20r-14-r4,city of chattanooga-hamilton co airpollution controlbureau (tn),2014-11-06,"rejected 2/11/2016:discriminatory act unclear,untimely filed",rejected ,2016-02-11,,race,race,,,462.0
