epa_file_#,clean_date_received,recent_status_date,time_difference,named_entity,referred_agency,final_adjudication_&_reason,disc_basis_1,disc_basis_2,disc_basis_3,disc_basis_4,disc_basis_5,simplified_status_primary
13R-10-R5,2006-04-19,2013-04-23,2561.0,Illinois EPA ,,Closed - Settlement,race,,,,,resolved: agreement
13R-12-R4,2012-07-18,2012-12-07,142.0,Florida Dept. of Environmental Protection,,Denied,,,,,,rejected
13R-13-R6,2013-08-09,2014-07-02,327.0,"Texas Commission on Environmental Quality, Waller County",,Dismissed without prejudice; Denied - Financial,race,,,,,rejected
13R-97-R9,1997-11-08,1998-08-24,289.0,Los Angeles County Department of Regional Planning,,Denied - Financial,race, color, national origin,,,rejected
13R-98-R6,1998-11-10,2001-11-30,1116.0,Louisiana Dept. of Environmental Quality,,Closed - Withdrawn,race,,,,,closed: complaint withdrawn
13R-99-R6,1999-05-13,2001-12-17,949.0,New Mexico Environment Dept.,,Denied - Moot,race, national origin,,,,rejected
14R-00-R2,2000-10-04,2005-09-04,1796.0,New Jersey Dept. of Environmental Protection,,Dismissed without prejudice,race,,,,,rejected
14R-04-R9,2004-03-08,2005-10-07,578.0,Fort Ord Reuse Authority ,,Denied - Financial,race, religion, income,,,rejected
14R-05-R4,2005-02-17,2008-03-20,1127.0,University of Florida,,Denied - Untimely,race,,,,,rejected
14R-06-R6,,2009-01-26,,"Texas Commission on Environmental Quality, Galveston County Health District",,Denied - Untimely,race,,,,,rejected
14R-07-R9,2007-12-10,2008-07-08,211.0,Maricopa County Air Quality Dept.,,"Denied - Untimely, Claims",,,,,,rejected
14R-10-R3,,2011-01-10,,"Virginia Dept. of Environmental Quality, City of Norfolk ",,Denied - Financial,race,,,,,rejected
14R-12-R9,,2012-09-26,,"State of Nevada, City of Las Vegas, Regional Transportation Commission",US Transporation Department,Denied - Financial,race,,,,,rejected
14R-13-R4,2013-07-24,,,City of Brooksville,,Pending,race,,,,,pending
14R-97-R5,,2005-03-14,,Illinois EPA,,Closed - Settlement,race,,,,,resolved: agreement
14R-98-R4,1998-11-15,1999-01-19,65.0,South Carolina State Ports Authority,,Denied - Financial,,,,,,rejected
14R-99-R4,1999-04-14,2002-07-11,1184.0,"Mississippi Dept. of Environmental Quality, City of Greenville",,Dismissed,race,,,,,rejected
15R-00-R4,2000-04-05,2000-08-06,123.0,Granville County Creedmore Sheriff Department,,"Denied - Financial, Untimely",race,,,,,rejected
15R-05-R9,2005-07-18,2012-07-17,2556.0,Maricopa County Air Quality Department,,Dismissed,race, income,,,,rejected
15R-06-R3,2006-09-11,2007-09-04,358.0,State of Virginia,US Interior Department,Closed - Referred,race,,,,,rejected and referred
15R-07-R9,2007-12-11,2008-08-25,258.0,Maricopa County Air Quality Dept.,,Denied - Untimely,race, national origin,,,,rejected
15R-10-R9,2010-05-30,2010-07-23,54.0,Union City,,Denied - Financial,,,,,,rejected
15R-12-R2,2012-08-18,2013-01-14,149.0,New York State Dept. of Corrections,DOJ Civil Rights Division,"Denied - Financial, Claims, Referred",,,,,,rejected and referred
15R-13-R2,2013-10-28,2014-02-21,116.0,Sussex County Board of Adjustment,,Denied - Financial,race, low income, age,,,rejected
15R-97-R4,1997-12-17,1998-07-29,224.0,Alabama Dept. of Environmental Management,,Denied - Untimely,race, income,,,,rejected
15R-98-R3,1998-12-07,1999-07-26,231.0,Allegheny County Health Dept.,,Denied - Moot,race, low income,,,,rejected
15R-99-R6,1999-06-25,2002-01-07,927.0,Arkansas Dept. of Environmental Quality,,Dismissed without prejudice,race,,,,,rejected
16R-00-R4,2000-11-28,2001-09-25,301.0,North Carolina Dept. of the Environment & Natural Resources,,Denied - Untimely,race,,,,,rejected
16R-05-R9,2005-09-08,2009-05-18,1348.0,Community First Coalition,Equal Employment Opportunity Commission ,Dismissed,race,,,,,rejected
16R-10-R9,,2010-08-27,,Kings County Board of Supervisors,Federal Highway Administration,"Denied - Financial, Referred",race, national origin,,,,rejected and referred
16R-12-R2,2012-08-23,2013-01-10,140.0,"EPA Region 5, New York State Dept. of Corrections",DOJ Civil Rights Division,"Denied - Financial, Claims",,,,,,rejected
16R-13-R5,2013-12-02,2014-03-07,95.0,Archer Daniels Midland,,Denied - Financial,race, age, gender,,,rejected
16R-98-R6,1998-12-07,2002-01-25,1145.0,"Texas Natural Resource Conservation Commission, State of Texas ",,Denied - Untimely,race, income,,,,rejected
16R-99-R9,1999-06-30,2011-08-25,4439.0,California EPA Dept. of Pesticide Regulation,,Closed - Settlement,race, national origin,,,,resolved: agreement
17D-05-R1,2005-10-14,2006-10-02,353.0,Jobs for Youth Networks,,Denied - Claims,disability,,,,,rejected
17R-00-R9,2000-08-08,2001-09-27,415.0,"State of Hawaii, Hawaii County",,Closed - Withdrawn,race, national origin, low income,,,closed: complaint withdrawn
17R-98-R6,1998-12-30,2003-11-03,1769.0,"Louisiana Dept. of Environmental Quality, State of Louisiana",,Dismissed without prejudice,,,,,,rejected
17R-99-R5,1999-06-22,2002-11-15,1242.0,Michigan Dept. of Environmental Quality,,Dismissed,race,,,,,rejected
17Rsd-10-R4,2008-09-02,2010-11-19,808.0,Waden Supply Company,"US Labor Department, Office of Federal Contract Compliance Programs",Closed - Referred,race, sex, disability,,,rejected and referred
18R-00-R9,2000-12-12,2002-04-30,504.0,Maricopa County Environmental Services Dept.,,Closed - Agreement,race,,,,,resolved: agreement
18R-05-R6,2005-12-01,2006-08-25,267.0,Texas Committee on Environmental Quality,,Denied - Untimely,,,,,,rejected
18R-10-R9,2010-04-06,2010-11-05,213.0,Arizona Dept. of Environmental Quality ,,"Denied - Financial, Claims",,,,,,rejected
18R-12-R4,2012-08-27,2013-04-16,232.0,"Town of Trenton, Jones County","DOJ Civil Rights Division, Justice Voting Section",Denied - Financial; Referred,race, color, national origin, retaliation,,rejected and referred
18R-98-R4,1998-12-10,2002-07-11,1309.0,Mississippi Dept. of Environmental Quality,,Dismissed,race,,,,,rejected
18R-99-R5,1999-07-19,2001-08-24,767.0,Michigan Dept. of Environmental Quality,,Denied - Untimely,race,,,,,rejected
19R-00-R4,2000-12-20,2001-07-02,194.0,Louisville/Jefferson County Air Pollution Control Board,,Denied - Claims,,,,,,rejected
19R-05-R4,2005-09-26,2012-03-09,2356.0,"Tennessee Dept. of Safety, Tennessee Dept. of Environment & Conservation",,Dismissed,race, income,,,,rejected
19R-10-R9,2009-03-12,,,"Palm Springs City Council, Palm Springs Police Department, Palm Springs Mayor",,Denied,,,,,,rejected
19R-12-R9,2012-09-13,2013-04-25,224.0,California Men's Colony State Prison Administration,US Justice Department,"Denied - Financial, Referred",,,,,,rejected and referred
19R-99-R9,1999-08-06,2003-06-24,1418.0,Arizona Dept. of Environmental Quality ,,Dismissed,race, national origin,,,,rejected
20R-12-R2,2012-10-24,2013-07-23,272.0,,,"Denied - Financial, Claims",whistleblower,,,,,rejected
20R-99-R6,1999-08-24,2003-11-03,1532.0,Louisiana Dept. of Environmental Quality ,,Dismissed without prejudice,race,,,,,rejected
21R-10-R6,2010-09-23,2012-09-28,736.0,"City of Baton Rouge, East Baton Rouge Parish, North Baton Rouge Sewage Treatment Plant",,Denied - Untimely,,,,,,rejected
21R-99-R5,1999-09-23,2001-08-24,701.0,Michigan Dept. of Environmental Quality,,Denied - Claims,race,,,,,rejected
22R-10-R6,2010-09-15,2012-09-28,744.0,"North Baton Rouge Sewage Treatment Plant, City of Baton Rouge",,Denied - Untimely,race,,,,,rejected
22R-99-R10,1999-09-24,1999-09-30,6.0,U.S. EPA,,Denied - Claims,race, national origin,,,,rejected
23R-10-R4,1999-02-10,2012-09-28,4979.0,"Alamance County Transportation Advisory Committee, Orange County, City of Mebane, North Carolina Dept. of Transportation","US Housing and Urban Development, Federal Highway Administration","Denied - Untimely, Referred",race, religion, income,,,rejected and referred
23R-99-R5,1999-10-19,2005-11-22,2226.0,"City of Indianapolis, Indianapolis Dept. of Public Works",,Closed - Informally Resolved,race,,,,,resolved: agreement
24R-10-R6,,2011-11-23,,Louisiana Dept. of Environmental Quality,,Denied - Untimely,,,,,,rejected
24R-99-R2,1999-08-26,2000-07-17,326.0,Glen Ridge Board of Education ,,"Denied - Financial, Untimely",race,,,,,rejected
25R-99-R1,1999-12-03,2002-03-01,819.0,Massachusetts Dept. of Environmental Protection ,,Closed - Withdrawn,race, national origin,,,,closed: complaint withdrawn
25Sr-10-R3,2010-09-30,2011-05-24,236.0,Pennsylvania Dept. of Environmental Protection,,"Denied - Financial, Untimely, Claims",sex,,,,,rejected
26r-10-R9,2010-12-20,2011-05-24,155.0,State of Hawaii Dept. of Health,,"Denied - Claims, Untimely",retaliation,,,,,rejected
26R-99-R10,1999-12-06,2002-01-09,765.0,"Oregon Dept. of Environmental Quality, Oregon Division of State Lands",,Closed - Withdrawn,race, national origin,,,,closed: complaint withdrawn
27R-99-R6,1999-12-13,,,Oklahoma Dept. of Environmental Quality,,Denied - Claims,race,,,,,rejected
28R-99-R4,1999-12-17,2003-07-01,1292.0,Alabama Dept. of Environmental Management,,Dismissed,race,,,,,rejected
