fy_rec'd,epa_file_#,summary_status,_merge,named_entity,clean_date_received,recent_status_date,time_difference,detailed_status,primary_status_map,simplified_status,compare_statuses,reason_for_rejection_if_applicable,presidential_administration,environmental_justice_issue_cited,city,state,zip_code,community_impacted,referred_agency,is_unique,filed_by_a_lawyer,group_filing,filed_on_behalf_of,epa_initiated_compliance_review,complaint_about_environmental_justice_matter,notes_on_ej_categorization,more_than_one_complaint,total_related_complaints,related_complaint_numbers,complaint_link,notes,additional_notes,disc_basis_1,disc_basis_2,related_documents,origin,final_adjudication_&_reason,disc_basis_3,disc_basis_4,disc_basis_5
fy21,03r-21-r5,closed,both,kalamazoo county,2021-09-01,2021-11-24,84.0,rejected 11/24/2021: untimely filed,rejected,rejected,True,untimely,Biden,"County of Kalamazoo and EGLE of Michigan discriminating by allowing expansion by ""a polluter known to be out of compliance for toxic releases into the air and water,"" and EGLE found ""Graphic Packaging operating without an air permit but did not shut them down""",Kalamazoo,MI,"not mentioned (""Northside of Kalamazoo"")",Primarily Black residents,,no,No,Redacted individual,,No,Yes,,Yes,2.0,"03r-21-r5, 04r-21-r5",https://www.epa.gov/system/files/documents/2022-06/03R-21-R5%20Complaint_Redacted.pdf,"EPA split this into two because the county portion was untimely, but not the state portion",,race,,03r-21-r5 complaint (pdf) (61.92 kb),epa,,,,
fy21,04r-21-r5,active,both,michigan egle (kalamazoo),2021-09-01,2023-06-13,650.0,pending: in informal resolution agreement negotiation,pending,pending: in informal resolution agreement negotiation,False,,Biden,"County of Kalamazoo and EGLE of Michigan discriminating by allowing expansion by ""a polluter known to be out of compliance for toxic releases into the air and water,"" and EGLE found ""Graphic Packaging operating without an air permit but did not shut them down""",Kalamazoo,MI,"not mentioned (""Northside of Kalamazoo"")",Primarily Black residents,,yes,No,Redacted individual,,No,Yes,,Yes,2.0,"03r-21-r5, 04r-21-r5",https://www.epa.gov/system/files/documents/2022-06/03R-21-R5%20Complaint_Redacted.pdf,"EPA split this into two because the county portion was untimely, but not the state portion",,race,,04r-21-r5 complaint (pdf) (61.92 kb),epa,,,,
fy21,02rno-21-r2,active,both,new york state dept. of envir. conservation,2021-08-30,2023-06-13,652.0,pending: in informal resolution agreement negotiation,pending,pending: in informal resolution agreement negotiation,False,,Biden,"The DEC, NY State Department of Public Service and National Grid discriminated regarding a proposed gas pipeline. (DEC, for instance, did an environmental analysis for one part of a proposed gas pipeline affecting white communities and found no environmental impact, ""but illegally segmented and failed to review the pipeline that ran through Black and Brown communities."")",Brooklyn,NY,multiple,Predominantly Black and Latino residents,,yes,Yes,National Center for Law and Economic Justice; the New York Law School Civil Rights and Disability Justice Clinic,Brownsville Green Justice; the Ocean Hill-Brownsville Coalition of Young Professionals; Mi Casa Resiste; the Indigenous Kinship Collective,No,Yes,,Yes,3.0,"02rno-21-r2, 03rno-21-r2, 04rno-21-r2",https://www.epa.gov/system/files/documents/2022-06/02RNO-21-R2%20Complaint_Redacted.pdf,Unredacted complaint: https://nclej.org/wp-content/uploads/2021/08/brownsville-green-justice-title-vi-complaint.pdf. Press release: https://nclej.org/news/complaint-against-national-grid-nys-brownsville-pipeline,,race, national origin,02rno-21-r2 complaint (pdf) (15.51 mb),epa,,,,
fy21,03rno-21-r2,closed,both,new york dept. of public service,2021-08-30,2021-10-21,52.0,"not accepted for investigation 10/21/2021: lack of jurisdiction (accepted by dot; dot, epa, dec and dps are coordinating on informal resolution agreement negotiation",rejected,rejected,True,"Lack of jurisdiction, pending other agency investigation",Biden,"The DEC, NY State Department of Public Service and National Grid discriminated regarding a proposed gas pipeline. ",Brooklyn,NY,multiple,Predominantly Black and Latino residents,,no,Yes,National Center for Law and Economic Justice; the New York Law School Civil Rights and Disability Justice Clinic,Brownsville Green Justice; the Ocean Hill-Brownsville Coalition of Young Professionals; Mi Casa Resiste; the Indigenous Kinship Collective,No,Yes,,Yes,3.0,"02rno-21-r2, 03rno-21-r2, 04rno-21-r2",https://www.epa.gov/system/files/documents/2022-06/02RNO-21-R2%20Complaint_Redacted.pdf,Unredacted complaint: https://nclej.org/wp-content/uploads/2021/08/brownsville-green-justice-title-vi-complaint.pdf. Press release: https://nclej.org/news/complaint-against-national-grid-nys-brownsville-pipeline,,race, national origin,03rno-21-r2 complaint (pdf) (15.51 mb),epa,,,,
fy21,04rno-21-r2,closed,both,national grid,2021-08-30,2021-10-21,52.0,"not accepted for investigation 10/21/2021: lack of jurisdiction (coordinating with doj, dot, doe)",rejected,rejected,True,"Lack of jurisdiction, coordinating with other agencies",Biden,"The DEC, NY State Department of Public Service and National Grid discriminated regarding a proposed gas pipeline. ",Brooklyn,NY,multiple,Predominantly Black and Latino residents,,no,Yes,National Center for Law and Economic Justice; the New York Law School Civil Rights and Disability Justice Clinic,Brownsville Green Justice; the Ocean Hill-Brownsville Coalition of Young Professionals; Mi Casa Resiste; the Indigenous Kinship Collective,No,Yes,,Yes,3.0,"02rno-21-r2, 03rno-21-r2, 04rno-21-r2",https://www.epa.gov/system/files/documents/2022-06/02RNO-21-R2%20Complaint_Redacted.pdf,Unredacted complaint: https://nclej.org/wp-content/uploads/2021/08/brownsville-green-justice-title-vi-complaint.pdf. Press release: https://nclej.org/news/complaint-against-national-grid-nys-brownsville-pipeline,,race, national origin,04rno-21-r2 complaint (pdf) (15.51 mb),epa,,,,
fy21,02r-21-r6,active,both,texas comm. on envir. quality,2021-08-18,2023-06-13,664.0,pending: in informal resolution agreement negotiation,pending,pending: in informal resolution agreement negotiation,False,,Biden,"TCEQ's renewal of an operating permit for Oxbow’s calcined coke facility in Port Arthur, without Best Available Control Technologies and effective compliance plan; the site is one of the highest emitters of sulfur dioxide in Texas and is beside the West Port Arthur neighborhood",Port Arthur,TX,"not mentioned (""West Port Arthur"")",Primarily Black residents,,yes,Yes,Lone Star Legal Aid; Environmental Integrity Project,Port Arthur Community Action Network,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-06/02R-21-R6%20Complaint_Redacted.pdf,Unredacted complaint: https://environmentalintegrity.org/wp-content/uploads/2021/08/2021.08.18_Oxbow-Title-VI-Complaint-Final.pdf. Press release: https://environmentalintegrity.org/news/groups-demand-epa-investigate-texas-industrial-plant-for-civil-rights-violations. Grist had a big investigation on this plant recently: https://grist.org/project/accountability/koch-oxbow-port-arthur-texas-clean-air-act-pollution/,,race,,02r-21-r6 complaint (pdf) (4.27 mb),epa,,,,
fy21,03r-21-r3,active,both,virginia dept. of envir. quality,2021-07-21,2023-06-13,692.0,pending: in informal resolution agreement negotiation,pending,pending: in informal resolution agreement negotiation,False,,Biden,"Ignoring impact from a proposed Wegmans Distribution Center on a community formed by formerly enslaved people, already disproportionately impacted by pollution; also, the earlier rezoning occurred during a stay-at-home order amid the pandemic and the community was unable to participate in the hearing ",Ashland (Brown Grove),VA,23005,Primarily Black residents,,yes,No,Redacted individual,,No,Yes,,Yes,2.0,"03r-21-r3, 04r-21-r3",https://www.epa.gov/system/files/documents/2022-06/03R-21-R3%20Complaint_Redacted.pdf,"From the complaint: ""Brown Grove was established by freed people after the Civil War and has suffered from over 60+ years of government sponsored discrimination since the construction of Interstate 95 split the community in half. With 2 interchanges to the interstate, much of the industrial development in Hanover County has been focused on this community."" A news story: https://www.bayjournal.com/news/growth_conservation/wegmans-site-under-construction-in-brown-grove-va/article_2352ed56-dac8-11ec-bd9f-1fb4d9f7bbfe.html",,race,,03r-21-r3 complaint (pdf) (67.38 kb) 03r-21-r3 complaint attachment (pdf) (225.37 kb),epa,,,,
fy21,04r-21-r3,closed,both,"hanover county, va",2021-07-21,2021-08-12,22.0,rejected 8/12/2021: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Biden,"Ignoring impact from a proposed Wegmans Distribution Center on a community formed by formerly enslaved people, already disproportionately impacted by pollution; also, the earlier rezoning occurred during a stay-at-home order amid the pandemic and the community was unable to participate in the hearing ",Ashland (Brown Grove),VA,23005,Primarily Black residents,,no,No,Redacted individual,,No,Yes,,Yes,2.0,"03r-21-r3, 04r-21-r3",https://www.epa.gov/system/files/documents/2022-06/03R-21-R3%20Complaint_Redacted.pdf,"From the complaint: ""Brown Grove was established by freed people after the Civil War and has suffered from over 60+ years of government sponsored discrimination since the construction of Interstate 95 split the community in half. With 2 interchanges to the interstate, much of the industrial development in Hanover County has been focused on this community."" A news story: https://www.bayjournal.com/news/growth_conservation/wegmans-site-under-construction-in-brown-grove-va/article_2352ed56-dac8-11ec-bd9f-1fb4d9f7bbfe.html",,race,,04r-21-r3 complaint (pdf) (67.38 kb) 04r-21-r3 complaint attachment (pdf) (225.37 kb),epa,,,,
fy21,01ds-21-r2,closed,both,"borough of sayreville, nj",2021-06-29,2021-07-23,24.0,rejected 7/23/2021: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Biden,Situation redacted,Sayreville,NJ,not mentioned,"""Family status"" and ""sex"" were listed as personal characteristics relevant to the complaint",,yes,No,Redacted individual,,No,Unclear,Largely redacted,,1.0,,https://www.epa.gov/system/files/documents/2022-06/01X-21-R2%20Complaint_Redacted.pdf,Pretty much entirely redacted,,disability, sex,01x-21-r2 complaint (pdf) (174.81 kb),epa,,,,
fy21,02d-21-r3,closed,both,maryland dept. of environment,2021-06-01,2023-06-13,742.0,rejected 7/28/2021: untimely filed/same complaint pending with eeoc,rejected,rejected,True,"untimely, pending with other agency",Biden,Situation redacted,Randallstown,MD,21133,A person with disabilities,,yes,No,Redacted individual,,No,Unlikely,Looks like an employment situation involving an environmental agency,,1.0,,https://www.epa.gov/system/files/documents/2022-06/02D-21-R3%20Complaint_Redacted.pdf,,,disability, employment,02d-21-r3 complaint (pdf) (64.09 kb),epa,,,,
fy21,01rno-21-r6,closed,both,texas dept. of transportation,2021-05-28,2021-06-24,27.0,"rejected 6/24/2021: same complaint pending with lead agency, u.s. dot",rejected,rejected,True,pending with another agency,Biden,North Houston Highway Improvement Project's displacement and pollution will disproportionately impact people of color ,Houston,TX,multiple,Residents of color,,yes,Yes,"Air Alliance Houston; LINK Houston; Stop TxDOT I-45; Texas Housers; Coalition for Environment, Equity and Resilience; National Black Environmental Justice Network; Environment Texas; Environmental Integrity Project; Texas Campaign for the Environment; Greater Houston Coalition for Justice; Texas Appleseed; Coalition of Community Organizations; One Breath Partnership",,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-06/01RNO-21-R6%20Complaint_Redacted.pdf,"""On February 22, 2021, the Federal Highway Administration informed us that our letter to the Texas DOT was being treated as a Title VI complaint and had been assigned to that agency’s Office of Civil Rights. ... We request that EPA carefully exercise its authorities and responsibilities relating to these issues raised by the NHHIP, with a focus on assuring not only that the minimum substantive and procedural requirements of federal law are complied with, but also ensuring, in coordination with the Civil Rights Office of the Federal Highway Administration, that the Project’s deficiencies from an environmental justice perspective and TxDOT’s noncompliance with Title VI be fully investigated and satisfactorily corrected and mitigated."" But the agency declined to investigate because FHA already is.",,race, national origin,01rno-21-r6 complaint (pdf) (131.35 kb) 01rno-21-r6 reject rec (pdf) (110.6 kb),epa,,,,
fy21,02r-21-r5,active,both,upper miss. river basin association,2021-05-28,2023-06-13,746.0,pending: in informal resolution agreement negotiation,pending,pending: in informal resolution agreement negotiation,False,,Biden,"Association is ""knowingly and deliberately excluding people of color living in the Mississippi River floodplain areas from participating in the development of programs, projects and policies related to flooding along the Mississippi River.""",Upper Mississippi River Basin region,Multiple,multiple,Residents of color,,yes,No,Redacted individual,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-06/02R-21-R5%20Complaint_Redacted.pdf,"Complainant is from East Moline, IL 61244. Quote from complaint: ""There are many studies that show flooding disproportionately impacts communities of color. Therefore, it is inappropriate for UMRBA to conduct any type of flood study without consulting these communities. And to continue to do so after the failing was pointed out to them is explicitly racist.""",,race,,02r-21-r5 complaint (pdf) (69.05 kb),epa,,,,
fy21,04x-21-r4,closed,both,south carolina agencies,2021-05-25,2023-06-13,749.0,rejected 7/7/2021: lack of information/complainant non-responsive,rejected,rejected,True,lack of information/complainant non-responsive,Biden,"None listed; it appears to be about the impact of a false police report on a disadvantaged business enterprise application, or at least both items are mentioned",Charleston,SC,29403,Not mentioned,,yes,No,Redacted individual,,No,No,"Cites a false police report, not environmental discrimination",,1.0,,https://www.epa.gov/system/files/documents/2022-06/04X-21-R4%20Complaint_Redacted.pdf,,,,,04x-21-r4 complaint (pdf) (8.07 mb),epa,,,,
fy21,03r-21-r4,active,both,tenn. dept. of envir. and conservation,2021-05-21,2023-06-13,753.0,pending: in informal resolution agreement negotiation,pending,pending: in informal resolution agreement negotiation,False,,Biden,"Issuing a permit for a proposed crude oil pipeline ""that would run directly through the municipal wellfield that supplies drinking water for historic Black neighborhoods in Memphis"" (southwest Memphis, specifically)",Memphis,TN,"38109, others",Primarily Black residents,,yes,Yes,Southern Environmental Law Center,Memphis Community Against Pollution Inc.,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-06/03R-21-R4%20Complaint_Redacted.pdf,"""The proposed route cuts through the heart of Boxtown, a freedmen’s community established by formerly enslaved people following the Emancipation Proclamation of 1863.15 Residents in the neighborhood’s zip code, 38109, are 97% Black,16 and nearly half of the households have an income below $25,000 a year. ... Rather than lead Byhalia to look elsewhere, the environmental injustice in southwest Memphis is precisely why Byhalia chose this route. ... Explaining the circuitous route to landowners, a  land agent disclosed that Byhalia saw southwest Memphis—poor, Black, already polluted—as the 'point of least resistance.'""",,race,,03r-21-r4 complaint (pdf) (2.22 mb),epa,,,,
fy21,02ad-21-r4,closed,both,epa region 4,2021-03-26,2021-04-30,35.0,rejected 4/30/2021: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Biden,"EPA won't start a Cumulative Risk Health Assessment for veterans exposed to toxics at the former Army base of Fort McClellan, Alabama",Anniston,AL,36201,"Veterans, older people",,yes,No,Redacted individual,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-06/02AD-21-R4%20Complaint_Redacted.pdf,"""The veterans do hereby allege that the unified refusal to cooperate with a valid access attempt by the veterans to commence a Cumulative Risk Health Assessment project at the EPA, has amounted to a discrimination practice to block, refuse, and deny legitimate agency services by reason of their environmental toxic exposures related health conditions, handicaps, and disabilities which are medically matching to the known and documented toxic sources from the former Army base of Fort McClellan, Alabama."" The complaint said no one responded to multiple requests for information and help. Separate -- link to some details about toxic exposures there: https://www.publichealth.va.gov/exposures/fort-mcclellan/",,disability, age,02ad-21-r4 complaint (pdf) (791.14 kb),epa,,,,
fy21,02r-21-r3,active,both,"philadelphia dept. of health, pa",2021-03-05,2023-06-13,830.0,pending: in informal resolution agreement negotiation,pending,pending: in informal resolution agreement negotiation,False,,Biden,"Agency issued a permit to a gas-fueled power plant in the Nicetown neighborhood, ""already heavily burdened with toxic air emissions from multiple sources""",Philadelphia,PA,19140,Primarily Black residents,,yes,Unclear (possibly),"Pennsylvanians Organized to Witness, Empower, and Rebuild",,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-06/02R-21-R3%20Complaint_Redacted.pdf,,,race,,02r-21-r3 complaint (pdf) (296.4 kb),epa,,,,
fy21,01r-21-r4,closed,both,"town of trenton, nc",2021-03-05,2021-03-22,17.0,rejected 3/22/2021: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Biden,"Two schools built in communities of color were not permitted to connect to the public sewage system, resulting in septic tank overflows that made students and teachers sick. (Dates given are 1951-2017)",Trenton,NJ,not mentioned,Communities of color,,yes,No,Redacted individual,,No,Yes,A past issue; there would be a timeliness issue if not a jurisdictional one,,1.0,,https://www.epa.gov/system/files/documents/2022-06/01R-21-R4%20Complaint_Redacted.pdf,,,race,,01r-21-r4 complaint (pdf) (1.17 mb),epa,,,,
fy21,01r-21-r3,closed,both,"city of ranson, wv",2021-01-08,2021-01-28,20.0,rejected 1/28/2021: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Biden,Rezoning and other actions/inactions affecting Black cemeteries,Kearneysville,WV,25430,Black residents and deceased residents,,yes,Unclear,Rural Agricultural Defenders,,No,Yes,,Possibly,2.0,"03R-19-R3, 04R-19-R3",https://www.epa.gov/system/files/documents/2022-06/01R-21-R3%20Complaint_Redacted.pdf,,,race,,01r-21-r3 complaint (pdf) (46.86 mb),epa,,,,
fy21,01rno-21-r5,active,both,illinois epa,2021-01-06,2023-06-13,888.0,pending: in informal resolution agreement negotiation,pending,pending: in informal resolution agreement negotiation,False,,Biden,Issuing a permit for a metal shredder and related operations,Chicago,IL,60617,Residents of color,,yes,Yes,Greater Chicago Legal Clinic; Environmental Advocacy Clinic at the Northwestern Pritzker School of Law,Southeast Environmental Task Force; Chicago Southeast Side Coalition to Ban Petcoke,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-06/01RNO-21-R5%20Complaint_Redacted.pdf,"From the complaint: ""These commentators assert that the EJ area where the facility will operate is already characterized by air quality challenges like toxic metal emissions to which the facility will add. This concern includes emissions from several colocated and co-owned scrap processing facilities that were not included by Illinois EPA in its permitting process. Commentators expressed concerns about the air quality impacts posed by the hundreds of trucks that are needed to bring materials to the facility and to remove processed materials from the facility, especially on local PM-10 ambient air quality conditions. Because the permitted facility is transferring the business, operations and equipment from an existing metal shredder on Chicago’s northside, dozens of commentators provided detailed information about the troubled compliance history of this northside operation and urged Illinois EPA to develop measures to address recurrent problems. Equally important, they questioned Illinois EPA’s permitting process, which occurred during a pandemic, a period of local civil unrest and without translation services in a community where many residents are Spanish-speaking. """,,race, national origin,01rno-21-r5 complaint (pdf) (175 kb),epa,,,,
fy21,01r-21-r9,resolved/in monitoring,both,"bay area air quality monitoring district, ca",2020-11-30,2022-10-03,672.0,resolved with voluntary compliance agreement 10/03/2022: in monitoring,resolved,resolved: voluntary compliance agreement,False,,Biden,"Agencies failed to ""mitigate and monitor the surrounding community’s exposure to dust disturbances"" from redevelopment of a former Navy site contaminated with radionuclides, oils, solvents and asbestos.",San Francisco,CA,94124,"Asian, Black and Latino residents",,yes,Unclear,Redacted groups or individuals,,No,Yes,,Yes,2.0,"01r-21-r9, 02r-21-r9",https://www.epa.gov/system/files/documents/2022-06/01R-21-R9%20Complaint_Redacted_1.pdf,,,race,,01r-21-r9 complaint (pdf) (11.67 mb) 01r-21-r9 rec acceptance (pdf) (194.64 kb) 01r-21-r9 vca rec letter (pdf) (201.07 kb) 01r-21-r9 vca final (pdf) (243.59 kb),epa,,,,
fy21,02r-21-r9,closed,both,"san francisco dept. of public health, ca",2020-11-30,2020-12-22,22.0,rejected 12/22/2020: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Trump,"Agencies failed to ""mitigate and monitor the surrounding community’s exposure to dust disturbances"" from redevelopment of a former Navy site contaminated with radionuclides, oils, solvents and asbestos.",San Francisco,CA,94124,"Asian, Black and Latino residents",,no,Unclear,Redacted groups or individuals,,No,Yes,,Yes,2.0,"01r-21-r9, 02r-21-r9",https://www.epa.gov/system/files/documents/2022-06/02R-21-R9%20Complaint_Redacted.pdf,,,race,,02r-21-r9 complaint (pdf) (11.67 mb),epa,,,,
fy20,01rno-20-r7,active,both,missouri dnr,2020-09-09,2022-06-22,651.0,pending: partial prelim findings issued 3/30/2021 on issue 2; voluntary compliance agreement to resolve partial preliminary findings of non-compliance issued 6/22/2022; issue 1 is in informal resolution negotiation,pending,"pending with partial action (voluntary compliance agreement, informal resolution negotiation)",False,,Biden,"Agency permit means ""residents near and within the Kinder Morgan facility, more of whom are minority-race and low income than residents of other areas in St. Louis, will be disproportionately exposed to air pollutants that are likely to threaten human health in violation of Title VI.""",St. Louis,MO,63104,"Primarily residents of color (majority Black, also Hispanic and Asian)",,yes,Yes,Great Rivers Environmental Law Center,Dutchtown South Community Corporation; the St. Louis Branch of the NAACP,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-08/01RNO-20-R7%20Complaint_Redacted_0.pdf,Unredacted complaint: https://greatriverslaw.org/wp-content/uploads/2021/04/MDNR-Title-VI-Complaint-MO-STL-NAACP-DSCC-1.pdf,,race, national origin,01rno-20-r7 complaint (pdf) (3.11 mb) 01rno-20-r7 rec acceptance (pdf) (184.79 kb) 01rno-20-r7 rec partial prelim findings ltr (pdf) (371.64 kb) 01rno-20-r7 rec ira tolling ltr (pdf) (109.64 kb) 01rno-20-r7 rec vca letter and vca (pdf) (2.01 mb) 01rno-20-r7 rec vca letter and vca-spanish (pdf) (300.14 kb),epa,,,,
fy20,01cr-20-r1,active,both,mass. eea (compliance review),2020-08-10,2023-06-13,1037.0,pending: in informal resolution negotiation,pending,pending: in informal resolution agreement negotiation,False,,Biden,"ECRCO will review whether the agency ""has and is taking reasonable steps, including implementing specific policies and procedures, to ensure meaningful access for individuals with limited English proficiency (LEP) to EEA programs and activities,"" and has/is implementing safeguards including ""public participation and specific policies and procedures to ensure meaningful access to EEA programs and activities for individuals with disabilities.""",,MA,,Limited English proficiency residents,,,Yes (EPA),EPA,,Yes,N/A (EPA initiated),,,1.0,,https://www.epa.gov/system/files/documents/2022-08/01CR-20-R1%20EEA%20Compliance%20Review%20Initiation_0.pdf,"""If EEA agrees to engage in the informal resolution agreement process, ECRCO will suspend its compliance review investigation. In the event that the informal resolution agreement process fails to result in an Informal Resolution Agreement between ECRCO and EEA, ECRCO will notify EEA that ECRCO has resumed its compliance review investigation.""",,national origin,,01cr-20-r1 eea compliance review initiation (pdf) (174.54 kb),epa,,,,
fy20,04dr-20-r6,closed,both,"city of colleyville, tx",2020-07-09,2020-07-31,22.0,"rejected 7/31/2020: lack of jurisdiction, provided dhs info",rejected,rejected,True,Lack of jurisdiction,Trump,"""Title VI retaliatory and/or wrongful tree taking in response to my protective action and advocating for my property’s rights related to repetitive flooding on my private property which has been long-term beginning 2008 and on-going""",Colleyville,TX,not mentioned,Resident with disabilities,,yes,No,Redacted individual,,No,No,The complaint mentions flooding but is focused on cutting trees on her property,,1.0,,https://www.epa.gov/system/files/documents/2022-08/04Dr-20-R6%20Complaint_Redacted.pdf,,,disability, retaliation,04dr-20-r6 complaint (pdf) (241.38 kb),epa,,,,
fy20,01no-20-r1,closed,both,mass. eea,2020-06-01,2020-07-27,56.0,rejected: converted to compliance review 7/27/2020,rejected,rejected but converted to compliance review,False,,Trump,"Massachusetts Energy Facilities Siting Board ""rebuffed—as “disruptive”—the attempts of non-English speaking residents to fully participate in these decisions, in direct contravention of federal law. ... After the evidentiary hearings concluded in July, counsel for GreenRoots and CLF wrote to the Secretary of EEA and Chair of the Board Kathleen Theoharides, documenting the failings in the interpretation provided during the hearings and urging her to take corrective action. Secretary Theoharides did not respond for two and a half months,"" then cited as ""enhancements"" the subpar interpretation the groups had written about.",Chelsea and East Boston,MA,not mentioned,Limited English proficiency residents,,yes,Yes,GreenRoots Inc.; Conservation Law Foundation,,No,Yes,,Yes,3.0,"01no-20-r1, 02no-20-r1, 03no-20-r1",https://www.epa.gov/system/files/documents/2022-08/01NO-20-R1%20Complaint_Redacted.pdf,"""As recipients of federal financial assistance, the Respondent entities—the Board, the Massachusetts Executive Office of Energy and Environmental Affairs (“EEA”), and the Massachusetts Department of Public Utilities (“DPU”)—are bound by Title VI of the Civil Rights Act of 1964, 42 U.S.C. § 2000d et seq., to ensure that no residents are unlawfully excluded from their public decision-making processes. This mandate includes ensuring the meaningful involvement of LEP residents."" (Did the EPA dismiss the non-EEA part of the complaint because the others received federal funding but not EPA funding?)",,national origin,,01no-20-r1 complaint (pdf) (499.96 kb),epa,,,,
fy20,02no-20-r1,closed,both,mass. dept. of public utilities,2020-06-01,2020-06-29,28.0,rejected 6/29/2020: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Trump,"Massachusetts Energy Facilities Siting Board ""rebuffed—as “disruptive”—the attempts of non-English speaking residents to fully participate in these decisions, in direct contravention of federal law."" (The board is part of, though independent from, DPU.)",Chelsea and East Boston,MA,not mentioned,Limited English proficiency residents,,no,Yes,GreenRoots Inc.; Conservation Law Foundation,,No,Yes,,Yes,3.0,"01no-20-r1, 02no-20-r1, 03no-20-r1",https://www.epa.gov/system/files/documents/2022-08/02NO-20-R1%20Complaint_Redacted_0.pdf,,,national origin,,02no-20-r1 complaint (pdf) (499.93 kb),epa,,,,
fy20,03no-20-r1,closed,both,mass. energy facilities siting board,2020-06-01,2020-06-29,28.0,rejected 6/29/2020: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Trump,"Massachusetts Energy Facilities Siting Board ""rebuffed—as “disruptive”—the attempts of non-English speaking residents to fully participate in these decisions, in direct contravention of federal law.""",Chelsea and East Boston,MA,not mentioned,Limited English proficiency residents,,no,Yes,GreenRoots Inc.; Conservation Law Foundation,,No,Yes,,Yes,3.0,"01no-20-r1, 02no-20-r1, 03no-20-r1",https://www.epa.gov/system/files/documents/2022-08/03NO-20-R1%20Complaint_Redacted.pdf,,,national origin,,03no-20-r1 complaint (pdf) (499.84 kb),epa,,,,
fy20,04x-20-r4,closed,both,north carolina deq,2020-04-02,2020-04-06,4.0,rejected 4/6/2020: correspondent contacted ncdeq directly to resolve,rejected,rejected,True,complainant contacted state agency directly to resolve,Trump,Notice and demographic-inaccuracy concerns about a permit for Carolina Sunrock LLC ,North Burlington,NC,27127,People of color,,yes,No,Anderson Community Group,,No,Yes,,Yes,2.0,"04rda-22-r4, 04x-20-r4",https://www.epa.gov/system/files/documents/2022-08/04X-20-R4%20Correspondence_Redacted.pdf,"From complaint: ""I am resending this email because the attached preliminary demographics by the citizens door to door campaign was substantially different when compared to the NCDEQ Environmental Injustice EJ report submitted on the NCDEQ draft permit. ... Again, I ask has any Environmental Injustice/Racism concern that has been brought to NCDEQ ever stopped a NCDEQ Air Permit in North Carolina? If yes, when and who? Again, I ask has a imminent health risk filed with the NCDEQ for an air permit every successfully stoped an air permit in North Carolina? If yes, when and who?"" Site info: https://deq.nc.gov/about/divisions/air-quality/air-quality-permitting/asphalt-plants/carolina-sunrock-permits // https://files.nc.gov/ncdeq/Air%20Quality/permits/carolina-sunrock/202107XX.R00draft_updated.pdf",,race,,04x-20-r4 correspondence (pdf) (274.88 kb),epa,,,,
fy20,02no-20-r3,resolved/in monitoring,both,wv dept. of health and human resources,2020-03-19,2023-02-10,1058.0,resolved with informal resolution agreement 2/10/2023: in monitoring,resolved,resolved: informal resolution agreement,False,,Biden,"DHHR lacks a nondiscrimination policy and program at DHHR, most problematic for limited English proficiency residents whose ""very lives may be at risk if they cannot read mailed Boil Water Notices or Consumer Confidence Reports provided to them by their public wate utilities.""",,WV,,Limited English proficiency residents,,yes,No,Rural Agricultural Defenders,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-08/02NO-20-R3%20Complaint%20%28NR%29.pdf,,,national origin,,02no-20-r3 complaint (pdf) (5.48 mb),epa,,,,
fy20,03r-20-r4,closed,both,kennesaw state univ.,2020-02-11,2020-03-03,21.0,"rejected 3/3/2020: same complaint pending with lead agency, u.s. dept. of education",rejected,rejected,True,pending with another agency,Trump,"None listed. Complaint by a white parent about a professor's discussion guidelines, which touch on race and racism.  ",Kennesaw,GA,30144,,,yes,No,Redacted individual,,No,No,Not an environmental complaint,,1.0,,https://www.epa.gov/system/files/documents/2022-08/03R-20-R4%20Complaint_Redacted.pdf,,,race,,03r-20-r4 complaint (pdf) (1.06 mb),epa,,,,
