fy_rec'd,summary_status,epa_file_#,named_entity,clean_date_received,detailed_status,primary_status,primary_status_map,secondary_status,recent_status_date,referred_agency,disc_basis_1,disc_basis_2,time_difference,related_documents
fy21,closed,01r-21-r4,"town of trenton, nc",2021-03-05,rejected 3/22/2021: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2021-03-22,,race,,17,01r-21-r4 complaint (pdf) (1.17 mb)
fy21,closed,01r-21-r3,"city of ranson, wv",2021-01-08,rejected 1/28/2021: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2021-01-28,,race,,20,01r-21-r3 complaint (pdf) (46.86 mb)
fy21,active,01rno-21-r5,illinois epa,2021-01-06,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race, national origin,888,01rno-21-r5 complaint (pdf) (175 kb)
fy21,resolved/in monitoring,01r-21-r9,"bay area air quality monitoring district, ca",2020-11-30,resolved with voluntary compliance agreement 10/03/2022: in monitoring,resolved,resolved,in monitoring,2022-10-03,,race,,672,01r-21-r9 complaint (pdf) (11.67 mb) 01r-21-r9 rec acceptance (pdf) (194.64 kb) 01r-21-r9 vca rec letter (pdf) (201.07 kb) 01r-21-r9 vca final (pdf) (243.59 kb)
fy21,closed,02r-21-r9,"san francisco dept. of public health, ca",2020-11-30,rejected 12/22/2020: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2020-12-22,,race,,22,02r-21-r9 complaint (pdf) (11.67 mb)
fy20,active,01rno-20-r7,missouri dnr,2020-09-09,pending: partial prelim findings issued 3/30/2021 on issue 2; voluntary compliance agreement to resolve partial preliminary findings of non-compliance issued 6/22/2022; issue 1 is in informal resolution negotiation,pending: partial prelim findings issued,pending,partial prelim findings issued  issue 1 is in informal resolution negotiation,2022-06-22,,race, national origin,651,01rno-20-r7 complaint (pdf) (3.11 mb) 01rno-20-r7 rec acceptance (pdf) (184.79 kb) 01rno-20-r7 rec partial prelim findings ltr (pdf) (371.64 kb) 01rno-20-r7 rec ira tolling ltr (pdf) (109.64 kb) 01rno-20-r7 rec vca letter and vca (pdf) (2.01 mb) 01rno-20-r7 rec vca letter and vca-spanish (pdf) (300.14 kb)
fy20,active,01cr-20-r1,mass. eea (compliance review),2020-08-10,pending: in informal resolution negotiation,pending,pending,in informal resolution negotiation,2023-06-13,,national origin,,1037,01cr-20-r1 eea compliance review initiation (pdf) (174.54 kb)
fy20,closed,04dr-20-r6,"city of colleyville, tx",2020-07-09,"rejected 7/31/2020: lack of jurisdiction, provided dhs info",rejected,rejected,"lack of jurisdiction, provided dhs info",2020-07-31,,disability, retaliation,22,04dr-20-r6 complaint (pdf) (241.38 kb)
fy20,closed,01no-20-r1,mass. eea,2020-06-01,rejected: converted to compliance review 7/27/2020,rejected,rejected,converted to compliance review,2020-07-27,,national origin,,56,01no-20-r1 complaint (pdf) (499.96 kb)
fy20,closed,02no-20-r1,mass. dept. of public utilities,2020-06-01,rejected 6/29/2020: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2020-06-29,,national origin,,28,02no-20-r1 complaint (pdf) (499.93 kb)
fy20,closed,03no-20-r1,mass. energy facilities siting board,2020-06-01,rejected 6/29/2020: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2020-06-29,,national origin,,28,03no-20-r1 complaint (pdf) (499.84 kb)
fy20,closed,04x-20-r4,north carolina deq,2020-04-02,rejected 4/6/2020: correspondent contacted ncdeq directly to resolve,rejected,rejected,correspondent contacted ncdeq directly to resolve,2020-04-06,,race,,4,04x-20-r4 correspondence (pdf) (274.88 kb)
fy20,resolved/in monitoring,02no-20-r3,wv dept. of health and human resources,2020-03-19,resolved with informal resolution agreement 2/10/2023: in monitoring,resolved,resolved,in monitoring,2023-02-10,,national origin,,1058,02no-20-r3 complaint (pdf) (5.48 mb)
fy20,closed,03r-20-r4,kennesaw state univ.,2020-02-11,"rejected 3/3/2020: same complaint pending with lead agency, u.s. dept. of education",rejected,rejected,"same complaint pending with lead agency, u.s. dept. of education",2020-03-03,,race,,21,03r-20-r4 complaint (pdf) (1.06 mb)
fy20,closed,02r-20-r4,north carolina deq,2020-02-06,rejected without prejudice 3/2/2020: not ripe for review,rejected,rejected,not ripe for review,2020-03-02,,race, national origin,25,02r-20-r4 complaint (pdf) (19.05 mb)
fy20,closed,02no-20-r10,puget sound clean air agency,2020-01-31,rejected without prejudice 2/25/2020: not ripe for review,rejected,rejected,not ripe for review,2020-02-25,,national origin,,25,02no-20-r10 complaint (pdf) (1018.23 kb)
fy20,closed,02r-20-r9,hawaii dept. of agriculture,2020-01-09,rejected/referred to eeoc 1/31/2020: investigation unjustified/lack of jurisdiction,rejected/referred,rejected and referred,investigation unjustified/lack of jurisdiction,2023-06-13,eeoc ,retaliation, national origin,1251,02r-20-r9 complaint (pdf) (4.94 mb)
fy20,closed,01d-20-r5,wisconsin dnr,2019-12-05,rejected/referred to eeoc 12/26/2019: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2019-12-26,eeoc ,disability,,21,01d-20-r5 complaint (pdf) (82.22 kb)
fy20,closed,01no-20-r10,puget sound clean air agency,2019-11-15,rejected without prejudice 12/9/2019: not ripe for review,rejected,rejected,not ripe for review,2019-12-09,,national origin,,24,01no-20-r10 complaint (pdf) (3.19 mb)
fy20,closed,03d-20-r6,"senior services of america, inc.",2019-11-14,rejected/referred to eeoc 12/9/2019: lack of jurisdiction/required referral,rejected/referred,rejected and referred,lack of jurisdiction/required referral,2023-06-13,eeoc ,disability,,1307,03d-20-r6 complaint (pdf) (2.97 mb)
fy20,resolved/in monitoring,02no-20-r6,texas. comm. on envir. quality,2019-11-12,resolved with informal resolution agreement 11/4/2020: in monitoring,resolved,resolved,in monitoring,2020-11-04,,national origin,,358,02no-20-r6 complaint (pdf) (693.13 kb)
fy20,closed,01no-20-r9,utc collins aerospace,2019-11-04,rejected 11/8/2019: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2019-11-08,,national origin,,4,01no-20-r9 complaint (pdf) (498.59 kb)
fy20,closed,01r-20-r4,al dept. of envir. mgmt. - dothan msw landfill,2019-10-31,rejected without prejudice 11/22/2019: not ripe for review,rejected,rejected,not ripe for review,2019-11-22,,race,,22,01r-20-r4 complaint (pdf) (497.2 kb)
fy20,closed,01u-20-r6,texas dept. of criminal justice,2019-10-29,rejected/referred to doj 10/30/2020: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2020-10-30,doj ,,,367,01u-20-r6 complaint (pdf) (469.88 kb)
fy20,closed,01u-20-r3,pa dept. of corrections,2019-10-16,rejected/referred to doj 10/17/2020: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2020-10-17,doj ,,,367,01u-20-r3 complaint (pdf) (576.55 kb)
fy19,resolved/in monitoring,01cr-19-r4,owasa (nc) compliance review,2019-09-27,resolved with informal resolution agreement 5/6/2020: in monitoring,resolved,resolved,in monitoring,2020-05-06,,race,,222,01cr-19-r4 compliance rev initiation (pdf) (841.53 kb) 01cr-19-r4 resolution ltr and ira (pdf) (374.77 kb)
fy19,resolved/in monitoring,03r-19-r3,wv dept. of envir. protection,2019-09-24,resolved with informal resolution agreement 1/8/2021: in monitoring,resolved,resolved,in monitoring,2021-01-08,,race,,472,03r-19-r3 complaint (pdf) (11.3 mb)
fy19,closed,04r-19-r3,jefferson county (wv) commission,2019-09-24,administratively closed 1/7/2020: lack of jurisdiction (originally accepted 10/17/2019),administratively closed,rejected,lack of jurisdiction (originally accepted ),2019-10-17,,race,,23,04r-19-r3 complaint (pdf) (11.3 mb)
fy19,closed,05r-19-r3,jefferson county (wv) office of the clerk (wv),2019-09-24,administratively closed 10/17/2019: merged with 04r-19-r3 (same entity as jefferson county comm.),administratively closed,rejected,merged with  (same entity as jefferson county comm.),2019-10-17,,race,,23,05r-19-r3 complaint (pdf) (11.3 mb)
fy19,closed,02u-19-r3,otto berg apts. (dc),2019-07-24,rejected 7/25/2019: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2019-07-25,,,,1,02u-19-r3 complaint (pdf) (1.31 mb)
fy19,closed,02no-19-r6,new mexico envir. dept.,2019-06-03,resolved and closed 12/18/2019: preliminary finding of insufficient evidence of violation,resolved and closed,resolved,preliminary finding of insufficient evidence of violation,2019-12-18,,national origin,,198,02no-19-r6 complaint (pdf) (14.82 mb) 02no-19-r6 complaint supplement (pdf) (193.14 kb)
fy19,closed,04r-19-r4,georgia dnr,2019-05-23,rejected 6/17/2019: referred to dhs/doi as lead agencies,rejected,rejected,referred to dhs/doi as lead agencies,2023-06-13,,race,,1482,04r-19-r4 complaint (pdf) (4 mb)
fy19,closed,03r-19-r4,"city of st. augustine, fl",2019-05-08,rejected 5/30/2019: allegations insufficiently grounded in fact,rejected,rejected,allegations insufficiently grounded in fact,2019-05-30,,race,,22,03r-19-r4 complaint (pdf) (619.7 kb)
fy19,closed,03u-19-r9,ca dept. of corrections – medical facility 2,2019-04-29,rejected/referred to doj 5/2/2019: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2019-05-02,doj ,,,3,03u-19-r9 complaint (pdf) (6 mb)
fy19,closed,01rr-19-r6,texas. comm. on envir. quality,2019-04-08,rejected/referred to eeoc 5/1/2019: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2019-05-01,eeoc ,race, retaliation,23,01rr-19-r6 complaint (pdf) (642.62 kb)
fy19,closed,02u-19-r9,ca dept. of corrections – medical facility 1,2019-04-03,rejected/referred to doj 4/8/2019: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2019-04-08,doj ,,,5,02u-19-r9 complaint (pdf) (2.17 mb)
fy19,closed,01no-19-r9,collins aerospace,2019-03-16,rejected 4/9/2019: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2019-04-09,,national origin,,24,01no-19-r9 complaint (pdf) (84.18 kb)
fy19,closed,01r-19-r3,virginia deq,2018-11-21,rejected without prejudice 12/28/2018: not ripe for review,rejected,rejected,not ripe for review,2018-12-28,,race,,37,01r-19-r3 complaint (pdf) (947.32 kb)
fy19,closed,01r-19-r4,city of atlanta,2018-11-01,rejected 5/2/2019: allegations insufficiently grounded in fact,rejected,rejected,allegations insufficiently grounded in fact,2019-05-02,,race/income,,182,01r-19-r4 complaint (pdf) (1.48 mb)
fy19,closed,02r-19-r4,georgia dnr,2018-11-01,rejected 5/2/2019: allegations insufficiently grounded in fact,rejected,rejected,allegations insufficiently grounded in fact,2019-05-02,,race/income,,182,02r-19-r4 complaint (pdf) (1.48 mb)
fy19,closed,01d-19-r5,minn. dept. of agriculture,2018-10-16,resolved with informal resolution agreement 8/19/2019; monitoring completed and case closed 4/28/2023,resolved,resolved,,2023-04-28,,disability,,1655,01d-19-r5 complaint (pdf) (2.38 mb) 01d-19-r5 rec acceptance ltr (pdf) (738.7 kb) 01d-19-r5 rec ira ltr and agreement (pdf) (3.1 mb) 01d-19-r5 rec monitoring closure ltr (pdf) (176.01 kb)
fy18,closed,04r-18-r9,tetra tech,2018-09-18,rejected 10/9/2018: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2018-10-09,,race,,21,04r-18-r9 complaint (pdf) (5.88 mb)
fy18,closed,05r-18-r9,city and county of san francisco,2018-09-18,rejected 12/20/2018: allegation not grounded in fact/not appropriate for investigation,rejected,rejected,allegation not grounded in fact/not appropriate for investigation,2023-06-13,,race,,1729,05r-18-r9 complaint (pdf) (5.87 mb)
fy18,closed,06r-18-r9,calepa/dtsc,2018-09-18,rejected 12/20/2018: allegation not grounded in fact/not appropriate for investigation,rejected,rejected,allegation not grounded in fact/not appropriate for investigation,2023-06-13,,race,,1729,06r-18-r9 complaint (pdf) (5.87 mb)
fy18,closed,07r-18-r9,ca regional water quality control board,2018-09-18,rejected 12/20/2018: allegation not grounded in fact/not appropriate for investigation,rejected,rejected,allegation not grounded in fact/not appropriate for investigation,2023-06-13,,race,,1729,07r-18-r9 complaint (pdf) (5.87 mb)
fy18,closed,05r-18-r4,south carolina dept. of health and envir. control,2018-08-16,rejected 9/7/2018: untimely filed,rejected,rejected,untimely filed,2018-09-07,,race,,22,05r-18-r4 complaint (pdf) (5.64 mb)
fy18,closed,03u-18-r3,"moniteau school district, pa",2018-08-13,rejected 8/30/2018: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2018-08-30,,,,17,03u-18-r3 complaint (pdf) (5.39 mb)
fy18,closed,03d-18-r4,los angeles county dept. of public works,2018-08-13,"rejected 12/20/2018: moot, not appropriate for investigation",rejected,rejected,"moot, not appropriate for investigation",2018-12-20,,disability,,129,03d-18-r9 complaint (pdf) (647.37 kb)
fy18,closed,04x-18-r4,alabama dept. of corrections,2018-08-06,rejected and referred to doj 8/8/2018: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2018-08-08,doj ,,,2,04x-18-r4 complaint (pdf) (2.95 mb)
fy18,closed,02r-18-r3,philadelphia dept. of health,2018-08-01,rejected without prejudice 8/23/2018: pending with local agency,rejected,rejected,pending with local agency,2018-08-23,,race,,22,02r-18-r3 complaint (pdf) (975.1 kb)
fy18,closed,01r-18-r3,virginia deq – atlantic coast pipeline,2018-06-19,rejected without prejudice 8/24/2018: not ripe for investigation,rejected,rejected,not ripe for investigation,2018-08-24,,race,,66,01r-18-r3 complaint (pdf) (1.04 mb)
fy18,closed,03r-18-r4,alabama dept. of envir. mgmt. - grievance procedures,2018-06-13,resolved with insufficient evidence finding and closed 12/3/2018,resolved,resolved,,2018-12-03,,procedural violations,,173,03r-18-r4 complaint (pdf) (1.72 mb)
fy18,closed,02r-18-r4,nc deq – atlantic coast pipeline,2018-05-16,rejected without prejudice 8/24/2018: not ripe for investigation,rejected,rejected,not ripe for investigation,2018-08-24,,race,,100,02r-18-r4 complaint (pdf) (143.65 kb) 02r-18-r4 complaint attachment (pdf) (11.46 mb)
fy18,closed,02r-18-r9,los angeles unified school dist.,2018-05-15,rejected 6/1/2018: lack of jurisdiction and untimely,rejected,rejected,lack of jurisdiction and untimely,2018-06-01,,race, national origin,17,02r-18-r9 complaint (pdf) (269.13 kb) 02r-18-r9 complaint attachments (pdf) (16.72 mb)
fy18,closed,01r-18-r4,north carolina deq,2018-03-28,rejected without prejudice 4/20/2018: pending w/state agency,rejected,rejected,pending w/state agency,2023-06-13,,race,,1903,01r-18-r4 complaint (pdf) (581.12 kb)
fy18,closed,01x-18-r9,"city of wilmington, ca",2018-03-12,rejected 4/20/2018: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2018-04-20,,,,39,01x-18-r9 correspondence (pdf) (21.94 mb)
fy18,closed,01x-18-r6,texas dept. of criminal justice,2018-03-06,rejected/referred to doj 3/13/2018: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2018-03-13,doj ,,,7,01x-18-r6 complaint (pdf) (1.67 mb)
fy17,closed,25r-17-r2,bristol-myers squibb,2017-09-20,rejected 11/13/2017: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2017-11-13,,race,,54,25r-17-r2 complaint (pdf) (5.58 mb)
fy17,closed,22rd-17-r3,"city of norfolk, va",2017-08-16,rejected without prejudice 5/17/2018: not ripe for investigation,rejected,rejected,not ripe for investigation,2018-05-17,,disability,,274,23rd-17-r3 complaint (pdf) (605.58 kb)
fy17,closed,24rd-17-r3,"norfolk redev. and housing auth., va",2017-08-16,rejected without prejudice 5/17/2018: not ripe for investigation,rejected,rejected,not ripe for investigation,2018-05-17,,disability,,274,24rd-17-r3 complaint (pdf) (605.58 kb)
fy17,closed,21x-17-r9,"redlands, ca resident",2017-07-25,rejected/closed 7/31/2017: no discrimination alleged,rejected/closed,rejected,no discrimination alleged,2017-07-31,,,,6,21x-17-r9 complaint (pdf) (1.49 mb)
fy17,closed,22d-17-r3,"franklin township, butler county, pa",2017-07-11,rejected 9/8/2017: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2017-09-08,,disability,,59,22d-17-r3 complaint (pdf) (311.95 kb)
fy17,closed,20s-17-r10,marketeering group,2017-06-03,rejected/closed 6/8/2017: lack of jurisdiction,rejected/closed,rejected,lack of jurisdiction,2017-06-08,,,,5,20s-17-r10 complaint (pdf) (367.42 kb)
fy17,closed,19x-17-r7,miller county health dept. (mo),2017-05-16,rejected 6/19/2017: lack of jurisdiction – no discrimination alleged,rejected,rejected,lack of jurisdiction – no discrimination alleged,2017-06-19,,,,34,19x-17-r7 complaint (pdf) (296.89 kb)
fy17,closed,18x-17-r5,"village of barrington, il",2017-05-10,rejected 9/14/2017: lack of jurisdiction – no discrimination alleged,rejected,rejected,lack of jurisdiction – no discrimination alleged,2017-09-14,,,,127,18x-17-r5 complaint (pdf) (366.34 kb)
fy17,closed,17x-17-r4,"franklin correctional inst., nc",2017-05-01,rejected 8/11/2017: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2017-08-11,,,,102,17x-17-r4 complaint (pdf) (374.92 kb)
fy17,closed,16r-17-r4,alabama dept. of envir. mgmt. (stone's throw landfill),2017-04-28,resolved 12/10/2018: preliminary findings of insufficient evidence of discrimination,resolved,resolved,preliminary findings of insufficient evidence of discrimination,2018-12-10,,race,,591,16r-17-r4 complaint (pdf) (155.19 kb)
fy17,closed,15x-17-r7,"city of merriam, ks",2017-04-11,rejected and referred 4/12/2017: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2017-04-12,,,,1,15x-17-r7 complaint (pdf) (476.46 kb)
fy17,closed,13r-17-r9,"city of oakland, ca & board of port commissioners",2017-04-05,resolved through informal resolution agreement 7/25/2019; monitoring completed and case closed 12/19/2019,resolved through informal resolution agreement,resolved,,2019-12-19,,race, national origin,988,13r-17-r9 complaint (pdf) (1.75 mb)
fy17,closed,14r-17-r9,port of oakland & board of port commissioners,2017-04-05,resolved through informal resolution agreement 7/25/2019; monitoring completed and case closed 11/27/2019,resolved through informal resolution agreement,resolved,,2019-11-27,,race,,966,14r-17-r9 complaint (pdf) (1.75 mb)
fy17,closed,11d-17-r7,"city of merriam, ks",2017-03-31,rejected 11/24/2017: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2017-11-24,,disability,,238,11d-17-r7 complaint (pdf) (554.28 kb)
fy17,closed,12d-17-r7,"city of overland park fire dept., ks",2017-03-31,rejected 11/24/2017: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2017-11-24,,disability,,238,12d-17-r7 complaint (pdf) (553.7 kb)
fy17,closed,10d-17-r4,"city of tallahassee, fl",2017-02-07,rejected 3/1/2018: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2018-03-01,,disability,,387,10d-17-r4 complaint (pdf) (370.92 kb)
fy17,closed,09d-17-r9,"city of south lake tahoe, ca",2017-02-06,rejected 12/27/2018: allegation not grounded in fact/not appropriate for investigation/untimely,rejected,rejected,allegation not grounded in fact/not appropriate for investigation/untimely,2023-06-13,,disability,,2318,09d-17-r9 complaint (pdf) (696.17 kb)
fy17,closed,07r-17-r7,missouri dnr,2016-12-27,rejected 7/13/2018: untimely filed,rejected,rejected,untimely filed,2018-07-13,,race,,563,07r-17-r7 complaint (pdf) (516.22 kb)
fy17,closed,08r-17-r7,"kansas city, mo health dept.",2016-12-26,administratively closed 8/14/2017: complainant withdrew complaint,administratively closed,rejected,complainant withdrew complaint,2017-08-14,,race,,231,08r-17-r7 complaint (pdf) (516.22 kb)
fy17,closed,06x-17-r5,wisconsin dept. of corrections,2016-11-30,rejected and referred to doj 8/3/2017: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2017-08-03,doj ,,,246,06x-17-r5 complaint (pdf) (1.15 mb)
fy17,closed,03d-17-r4,kentucky energy & envir. cabinet,2016-11-29,rejected 9/15/2017: allegation not grounded in fact/not appropriate for investigation,rejected,rejected,allegation not grounded in fact/not appropriate for investigation,2023-06-13,,disability,,2387,03d-17-r4 complaint email (pdf) (53.53 kb) 03d-17-r4 doj complaint (pdf) (609.86 kb) 03d-17-r4 complaint attach1 (pdf) (4.98 mb) 03d-17-r4 complaint attach2 (pdf) (165.3 kb) 03d-17-r4 complaint attach3 (pdf) (7.95 mb)
fy17,closed,04d-17-r9,"avalonbay communities, inc.",2016-11-29,rejected 11/3/2017: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2017-11-03,,disability,,339,04d-17-r9 complaint (pdf) (1.61 mb)
fy17,closed,05d-17-r9,oakwood worldwide,2016-11-29,rejected 11/3/2017: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2017-11-03,,disability,,339,05d-17-r9 complaint (pdf) (1.61 mb)
fy17,closed,02r-17-r9,calif. air resources board,2016-11-14,administratively closed 12/5/2016: complainant withdrew complaint,administratively closed,rejected,complainant withdrew complaint,2016-12-05,,race,,21,02r-17-r9 complaint (pdf) (25.28 mb)
fy17,closed,01r-17-r5,illinois epa,2016-11-02,rejected 11/24/2017: lack of jurisdiction; untimely filed,rejected,rejected,lack of jurisdiction; untimely filed,2017-11-24,,race,,387,01r-17-r5 complaint (pdf) (657.7 kb) 01r-17-r5 wh corr 1 (pdf) (237.5 kb) 01r-17-r5 wh corr 2 (pdf) (9.55 kb)
fy16,closed,48x-16-r6,lewis unit (tx),2016-09-23,resolved and closed administratively 12/19/2016: provided epa contact re: injection of flotation foam for boats,resolved and closed administratively,resolved,provided epa contact re: injection of flotation foam for boats,2016-12-19,,,,87,48x-16-r6 complaint (pdf) (409.36 kb)
fy16,closed,46r-16-r4,lee county (fl) school district,2016-09-22,rejected 5/1/2017: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2017-05-01,,race, national origin,221,46r-16-r4 complaint (pdf) (2.96 mb)
fy16,resolved/in monitoring,44rno-16-r9,hawaii dept. of agriculture,2016-09-15,resolved through informal resolution agreement 5/30/2019; in monitoring,resolved through informal resolution agreement,resolved,,2019-05-30,,race, national origin,987,44rno-16-r9 complaint (pdf) (820.69 kb)
fy16,resolved/in monitoring,45rno-16-r9,hawaii agribusiness dev. corp.,2016-09-15,resolved through informal resolution agreement 8/29/2019; in monitoring,resolved through informal resolution agreement,resolved,,2019-08-29,,race, national origin,1078,45rno-16-r9 complaint (pdf) (820.69 kb)
fy16,closed,47u-16-r4,nc dept. of public safety,2016-09-12,rejected and referred (doj) 11/9/2017: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2017-11-09,doj,,,423,47u-16-r4 complaint (pdf) (677.4 kb)
fy16,closed,42d-16-r9,"bay area air quality monitoring district, ca",2016-08-31,rejected 8/30/2018: investigation unwarranted - issue raised in complaint resolved,rejected,rejected,investigation unwarranted - issue raised in complaint resolved,2018-08-30,,disability,,729,42d-16-r9 complaint (pdf) (56.59 kb)
fy16,closed,43x-16-r4,"casa verde mobile homes, fl",2016-08-31,"admin closure/referral 10/11/2016: no complainant contact information, no allegation of discrimination - referred corresp. to epa hq and region 4 drinking water staff",admin closure/referral,rejected and referred,"no complainant contact information, no allegation of discrimination - referred corresp. to epa hq and region 4 drinking water staff",2016-10-11,,,,41,43x-16-r4 complaint (pdf) (221.45 kb)
fy16,closed,40d-16-r4,"habitat for humanity jacksonville, fl",2016-08-30,"rejected 11/3/2017: lack of recipient jurisdiction, provided fdep contact re: envir. concerns",rejected,rejected,"lack of recipient jurisdiction, provided fdep contact re: envir. concerns",2017-11-03,,disability,,430,40d-16-r4 complaint (pdf) (399.84 kb)
fy16,closed,41d-16-r4,"city of jacksonville, fl",2016-08-30,rejected 11/3/2017: not timely filed,rejected,rejected,not timely filed,2017-11-03,,disability,,430,41d-16-r4 complaint (pdf) (427.76 kb)
fy16,closed,39r-16-r9,ca dept. of toxic substances control,2016-08-26,rejected 10/15/2018: further investigation unwarranted – issue raised in complaint resolved,rejected,rejected,further investigation unwarranted – issue raised in complaint resolved,2018-10-15,,race,,780,39r-16-r9 complaint (pdf) (2.62 mb)
fy16,closed,38r-16-r4,alabama dept. of envir. mgmt. (arrowhead landfill - retaliation),2016-08-19,accepted and admin closure 10/5/2016: incorporated into then-pending investigation of 12r-13-r4,accepted and admin closure,accepted and closed,incorporated into then-pending investigation of,2016-10-05,,retaliation,,47,38r-16-r4 complaint (pdf) (65.1 mb)
fy16,closed,37r-16-r4,n.c. dept. of envir. quality – pork cafo (retaliation),2016-07-11,accepted and admin closure 8/2/2016: incorporated into then-pending investigation of 11r-14-r4,accepted and admin closure,accepted and closed,incorporated into then-pending investigation of,2016-08-02,,retaliation,,22,37r-16-r4 complaint (pdf) (13.72 mb)
fy16,closed,36r-16-r9,"city and county of honolulu, hi",2016-06-30,referred (eeoc) 2/16/2017: lack of jurisdiction,referred,rejected and referred,lack of jurisdiction,2017-02-16,eeoc,race,,231,36r-16-r9 incoming complaint to dol (pdf) (336.74 kb) 36r-16-r9 dol referral 11-4-2015 (pdf) (128.16 kb) 36r-16-r9 2016 07 01 dol corr from complainant (pdf) (196.93 kb)
fy16,closed,34rno-16-r10,"yakima regional clean air auth., wa",2016-06-11,resolved through informal resolution agreement: 8/9/2019; monitoring completed and case closed 8/19/2020,resolved through informal resolution agreement:,resolved,monitoring completed and case closed,2020-08-19,,race, national origin,1530,34rno-16-r10 complaint (pdf) (510.49 kb) 34rno-16-r10 complaint attachment (pdf) (1.7 mb)
fy16,closed,35rno-16-r10,wa dept. of ecology,2016-06-11,rejected 2/11/2019: lack of alleged covered discriminatory act,rejected,rejected,lack of alleged covered discriminatory act,2019-02-11,,race, national origin,975,35rno-16-r10 complaint (pdf) (510.49 kb) 35rno-16-r10 complaint att 1 (pdf) (1.21 mb) 35rno-16-r10 complaint att 2 (pdf) (885.44 kb)
fy16,closed,32d-16-r9,"santa clara county, ca",2016-06-06,rejected and referred (hhs) 11/3/2017: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2017-11-03,hhs,disability,,515,32d-16-r9 complaint (pdf) (650.62 kb)
fy16,,33ta-16-r3,de dept. of nat. res. and envir. control,2016-06-03,technical assistance to recipient,technical,technical assistance,,2023-06-13,,,,2566,33ta-16-r3 ddnrec ta initiation e-mail (pdf) (16.38 kb)
fy16,closed,31r-16-r4,"st. john’s county, fl",2016-05-17,rejected and closed 3/1/2018: investigation unwarranted- insufficiently grounded in fact,rejected and closed,rejected,investigation unwarranted- insufficiently grounded in fact,2018-03-01,,race, retaliation,653,31r-16-r4 2016 05 17 complaint (pdf) (206.85 kb) 31r-16-r4 2016 05 19 complaint (pdf) (303.15 kb)
fy16,closed,28r-16-r3,md public service comm.,2016-05-11,resolved through epa/dot joint informal resolution agreement: 1/30/2019; monitoring conducted by dot,resolved through epa/dot joint informal resolution agreement:,resolved,monitoring conducted by dot,2019-01-30,,race,,994,28r-16-r3 complaint (pdf) (1.66 mb)
fy16,closed,29r-16-r3,md dept. of envir. (brandywine),2016-05-11,resolved through epa/dot joint informal resolution agreement: 1/30/2019; monitoring completed and case closed 12/15/2020,resolved through epa/dot joint informal resolution agreement:,resolved,monitoring completed and case closed,2020-12-15,,race,,1679,29r-16-r3 complaint (pdf) (1.66 mb)
fy16,closed,30r-16-r3,md dept. of nat. res.,2016-05-11,resolved through epa/dot joint informal resolution agreement: 1/30/2019; monitoring completed and case closed 2/6/2020,resolved through epa/dot joint informal resolution agreement:,resolved,monitoring completed and case closed,2020-02-06,,race,,1366,30r-16-r3 complaint (pdf) (1.66 mb)
fy16,resolved/in monitoring,27r-16-r6,arkansas deq,2016-04-26,resolved through informal resolution agreement: 1/8/2021; in monitoring,resolved through informal resolution agreement:,resolved,in monitoring,2021-01-08,,race,,1718,27r-16-r6 complaint and exhibits (pdf) (4.17 mb)
