FY Rec'd,Summary Status,EPA File #,Named Entity,Date Received,Alleged Discrimination Basis,Detailed Status,Related Documents
FY20,Active,01RNO-20-R7,Missouri DNR,09/09/2020,"Title VI: Race, National Origin",Pending: Partial Prelim Findings Issued 3/30/2021 on Issue 2; Voluntary Compliance Agreement to Resolve Partial Preliminary Findings of Non-Compliance Issued 6/22/2022; Issue 1 is in Informal Resolution Negotiation,01RNO-20-R7 Complaint (pdf) (3.11 MB) 01RNO-20-R7 REC Acceptance (pdf) (184.79 KB) 01RNO-20-R7 REC Partial Prelim Findings Ltr (pdf) (371.64 KB) 01RNO-20-R7 REC IRA Tolling Ltr (pdf) (109.64 KB) 01RNO-20-R7 REC VCA Letter and VCA (pdf) (2.01 MB) 01RNO-20-R7 REC VCA Letter and VCA-Spanish (pdf) (300.14 KB)
FY20,Active,01CR-20-R1,Mass. EEA (Compliance Review),08/10/2020,Title VI: National Origin,Pending: In Informal Resolution Negotiation,01CR-20-R1 EEA Compliance Review Initiation (pdf) (174.54 KB)
FY20,Closed,04Dr-20-R6,"City of Colleyville, TX",07/09/2020,"Section 504: Disability, Retaliation","Rejected 7/31/2020: Lack of Jurisdiction, Provided DHS Info",04Dr-20-R6 Complaint (pdf) (241.38 KB)
FY20,Closed,01NO-20-R1,Mass. EEA,06/01/2020,Title VI: National Origin,Rejected: Converted to Compliance Review 7/27/2020,01NO-20-R1 Complaint (pdf) (499.96 KB)
FY20,Closed,02NO-20-R1,Mass. Dept. of Public Utilities,06/01/2020,Title VI: National Origin,Rejected 6/29/2020: Lack of Jurisdiction,02NO-20-R1 Complaint (pdf) (499.93 KB)
FY20,Closed,03NO-20-R1,Mass. Energy Facilities Siting Board,06/01/2020,Title VI: National Origin,Rejected 6/29/2020: Lack of Jurisdiction,03NO-20-R1 Complaint (pdf) (499.84 KB)
FY20,Closed,04X-20-R4,North Carolina DEQ,04/02/2020,Title VI: Race,Rejected 4/6/2020: Correspondent Contacted NCDEQ directly to resolve,04X-20-R4 Correspondence (pdf) (274.88 KB)
FY20,Resolved/In Monitoring,02NO-20-R3,WV Dept. of Health and Human Resources,03/19/2020,Title VI: National Origin,Resolved with Informal Resolution Agreement 2/10/2023: In Monitoring,02NO-20-R3 Complaint (pdf) (5.48 MB)
FY20,Closed,03R-20-R4,Kennesaw State Univ.,02/11/2020,Title VI: Race,"Rejected 3/3/2020: Same Complaint Pending with Lead Agency, U.S. Dept. of Education",03R-20-R4 Complaint (pdf) (1.06 MB)
FY20,Closed,02R-20-R4,North Carolina DEQ,02/06/2020,"Title VI: Race, National Origin",Rejected without Prejudice 3/2/2020: Not Ripe for Review,02R-20-R4 Complaint (pdf) (19.05 MB)
FY20,Closed,02NO-20-R10,Puget Sound Clean Air Agency,01/31/2020,Title VI: National Origin,Rejected without Prejudice 2/25/2020: Not Ripe for Review,02NO-20-R10 Complaint (pdf) (1018.23 KB)
FY20,Closed,02r-20-R9,Hawaii Dept. of Agriculture,01/09/2020,"Title VI: Retaliation, National Origin",Rejected/Referred to EEOC 1/31/2020: Investigation Unjustified/Lack of Jurisdiction,02r-20-R9 Complaint (pdf) (4.94 MB)
FY20,Closed,01D-20-R5,Wisconsin DNR,12/05/2019,Section 504: Disability,Rejected/Referred to EEOC 12/26/2019: Lack of Jurisdiction,01D-20-R5 Complaint (pdf) (82.22 KB)
FY20,Closed,01NO-20-R10,Puget Sound Clean Air Agency,11/15/2019,Title VI: National Origin,Rejected without Prejudice 12/9/2019: Not Ripe for Review,01NO-20-R10 Complaint (pdf) (3.19 MB)
FY20,Closed,03D-20-R6,"Senior Services of America, Inc.",11/14/2019,Section 504: Disability,Rejected/Referred to EEOC 12/9/2019: Lack of Jurisdiction/Required Referral,03D-20-R6 Complaint (pdf) (2.97 MB)
FY20,Resolved/In Monitoring,02NO-20-R6,Texas. Comm. on Envir. Quality,11/12/2019,Title VI: National Origin,Resolved with Informal Resolution Agreement 11/4/2020: In Monitoring,02NO-20-R6 Complaint (pdf) (693.13 KB)
FY20,Closed,01NO-20-R9,UTC Collins Aerospace,11/04/2019,Title VI: National Origin,Rejected 11/8/2019: Lack of Jurisdiction,01NO-20-R9 Complaint (pdf) (498.59 KB)
FY20,Closed,01R-20-R4,AL Dept. of Envir. Mgmt. - Dothan MSW Landfill,10/31/2019,Title VI: Race,Rejected without Prejudice 11/22/2019: Not Ripe for Review,01R-20-R4 Complaint (pdf) (497.2 KB)
FY20,Closed,01U-20-R6,Texas Dept. of Criminal Justice,10/29/2019,Unknown,Rejected/Referred to DOJ 10/30/2020: Lack of Jurisdiction,01U-20-R6 Complaint (pdf) (469.88 KB)
FY20,Closed,01U-20-R3,PA Dept. of Corrections,10/16/2019,Unknown,Rejected/Referred to DOJ 10/17/2020: Lack of Jurisdiction,01U-20-R3 Complaint (pdf) (576.55 KB)
FY19,Resolved/In Monitoring,01CR-19-R4,OWASA (NC) Compliance Review,09/27/2019,Title VI: Race,Resolved with Informal Resolution Agreement 5/6/2020: In Monitoring,"01CR-19-R4 Compliance Rev Initiation (pdf) (841.53 KB)
01CR-19-R4 Resolution Ltr and IRA (pdf) (374.77 KB)"
FY19,Resolved/In Monitoring,03R-19-R3,WV Dept. of Envir. Protection,09/24/2019,Title VI: Race,Resolved with Informal Resolution Agreement 1/8/2021: In Monitoring,03R-19-R3 Complaint (pdf) (11.3 MB)
FY19,Closed,04R-19-R3,Jefferson County (WV) Commission,09/24/2019,Title VI: Race,Administratively Closed 1/7/2020: Lack of Jurisdiction (Originally Accepted 10/17/2019),04R-19-R3 Complaint (pdf) (11.3 MB)
FY19,Closed,05R-19-R3,Jefferson County (WV) Office of the Clerk (WV),09/24/2019,Title VI: Race,Administratively Closed 10/17/2019: Merged with 04R-19-R3 (Same Entity as Jefferson County Comm.),05R-19-R3 Complaint (pdf) (11.3 MB)
FY19,Closed,02U-19-R3,Otto Berg Apts. (DC),07/24/2019,Unknown,Rejected 7/25/2019: Lack of Jurisdiction,02U-19-R3 Complaint (pdf) (1.31 MB)
FY19,Closed,02NO-19-R6,New Mexico Envir. Dept.,06/03/2019,Title VI: National Origin,Resolved and Closed 12/18/2019: Preliminary Finding of Insufficient Evidence of Violation,"02NO-19-R6 Complaint (pdf) (14.82 MB)
02NO-19-R6 Complaint Supplement (pdf) (193.14 KB)"
FY19,Closed,04R-19-R4,Georgia DNR,05/23/2019,Title VI: Race,Rejected 6/17/2019: Referred to DHS/DOI As Lead Agencies,04R-19-R4 Complaint (pdf) (4 MB)
FY19,Closed,03R-19-R4,"City of St. Augustine, FL",05/08/2019,Title VI: Race,Rejected 5/30/2019: Allegations Insufficiently Grounded in Fact,03R-19-R4 Complaint (pdf) (619.7 KB)
FY19,Closed,03U-19-R9,CA Dept. of Corrections – Medical Facility 2,04/29/2019,Unknown,Rejected/Referred to DOJ 5/2/2019: Lack of Jurisdiction,03U-19-R9 Complaint (pdf) (6 MB)
FY19,Closed,01Rr-19-R6,Texas. Comm. on Envir. Quality,04/08/2019,"Title VI: Race, Retaliation",Rejected/Referred to EEOC 5/1/2019: Lack of Jurisdiction,01Rr-19-R6 Complaint (pdf) (642.62 KB)
FY19,Closed,02U-19-R9,CA Dept. of Corrections – Medical Facility 1,04/03/2019,Unknown (envir. conditions),Rejected/Referred to DOJ 4/8/2019: Lack of Jurisdiction,02U-19-R9 Complaint (pdf) (2.17 MB)
FY19,Closed,01NO-19-R9,Collins Aerospace,03/16/2019,Title VI: National Origin,Rejected 4/9/2019: Lack of Jurisdiction,01NO-19-R9 Complaint (pdf) (84.18 KB)
FY19,Closed,01R-19-R3,Virginia DEQ,11/21/2018,Title VI: Race,Rejected without Prejudice 12/28/2018: Not Ripe for Review,01R-19-R3 Complaint (pdf) (947.32 KB)
FY19,Closed,01R-19-R4,City of Atlanta,11/01/2018,Title VI: Race/Income,Rejected 5/2/2019: Allegations Insufficiently Grounded in Fact,01R-19-R4 Complaint (pdf) (1.48 MB)
FY19,Closed,02R-19-R4,Georgia DNR,11/01/2018,Title VI: Race/Income,Rejected 5/2/2019: Allegations Insufficiently Grounded in Fact,02R-19-R4 Complaint (pdf) (1.48 MB)
FY19,Closed,01D-19-R5,Minn. Dept. of Agriculture,10/16/2018,Section 504/Title VI: Disability,Resolved with Informal Resolution Agreement 8/19/2019; Monitoring Completed and Case Closed 4/28/2023,01D-19-R5 Complaint (pdf) (2.38 MB) 01D-19-R5 REC Acceptance Ltr (pdf) (738.7 KB) 01D-19-R5 REC IRA Ltr and Agreement (pdf) (3.1 MB) 01D-19-R5 REC Monitoring Closure Ltr (pdf) (176.01 KB)
FY18,Closed,04R-18-R9,Tetra Tech,09/18/2018,Title VI: Race,Rejected 10/9/2018: Lack of Jurisdiction,04R-18-R9 Complaint (pdf) (5.88 MB)
FY18,Closed,05R-18-R9,City and County of San Francisco,09/18/2018,Title VI: Race,Rejected 12/20/2018: Allegation Not Grounded in Fact/Not Appropriate for Investigation,05R-18-R9 Complaint (pdf) (5.87 MB)
FY18,Closed,06R-18-R9,CalEPA/DTSC,09/18/2018,Title VI: Race,Rejected 12/20/2018: Allegation Not Grounded in Fact/Not Appropriate for Investigation,06R-18-R9 Complaint (pdf) (5.87 MB)
FY18,Closed,07R-18-R9,CA Regional Water Quality Control Board,09/18/2018,Title VI: Race,Rejected 12/20/2018: Allegation Not Grounded in Fact/Not Appropriate for Investigation,07R-18-R9 Complaint (pdf) (5.87 MB)
FY18,Closed,05R-18-R4,South Carolina Dept. of Health and Envir. Control,08/16/2018,Title VI: Race,Rejected 9/7/2018: Untimely Filed,05R-18-R4 Complaint (pdf) (5.64 MB)
FY18,Closed,03U-18-R3,"Moniteau School District, PA",08/13/2018,Unknown,Rejected 8/30/2018: Lack of Jurisdiction,03U-18-R3 Complaint (pdf) (5.39 MB)
FY18,Closed,03D-18-R4,Los Angeles County Dept. of Public Works,08/13/2018,Section 504: Disability,"Rejected 12/20/2018: Moot, Not Appropriate for Investigation",03D-18-R9 Complaint (pdf) (647.37 KB)
FY18,Closed,04X-18-R4,Alabama Dept. of Corrections,08/06/2018,None,Rejected and Referred to DOJ 8/8/2018: Lack of Jurisdiction,04X-18-R4 Complaint (pdf) (2.95 MB)
FY18,Closed,02R-18-R3,Philadelphia Dept. of Health,08/01/2018,Title VI: Race,Rejected without Prejudice 8/23/2018: Pending with Local Agency,02R-18-R3 Complaint (pdf) (975.1 KB)
FY18,Closed,01R-18-R3,Virginia DEQ – Atlantic Coast Pipeline,06/19/2018,Title VI: Race,Rejected without Prejudice 8/24/2018: Not Ripe for Investigation,01R-18-R3 Complaint (pdf) (1.04 MB)
FY18,Closed,03R-18-R4,Alabama Dept. of Envir. Mgmt. - Grievance Procedures,06/13/2018,Title VI: Procedural Violations,Resolved with Insufficient Evidence Finding and Closed 12/3/2018,03R-18-R4 Complaint (pdf) (1.72 MB)
FY18,Closed,02R-18-R4,NC DEQ – Atlantic Coast Pipeline,05/16/2018,Title VI: Race,Rejected without Prejudice 8/24/2018: Not Ripe for Investigation,"02R-18-R4 Complaint (pdf) (143.65 KB)
02R-18-R4 Complaint Attachment (pdf) (11.46 MB)"
FY18,Closed,02R-18-R9,Los Angeles Unified School Dist.,05/15/2018,"Title VI: Race, National Origin",Rejected 6/1/2018: Lack of Jurisdiction and Untimely,"02R-18-R9 Complaint (pdf) (269.13 KB)
02R-18-R9 Complaint Attachments (pdf) (16.72 MB)"
FY18,Closed,01R-18-R4,North Carolina DEQ,03/28/2018,Title VI: Race,Rejected Without Prejudice 4/20/2018: Pending w/State Agency,01R-18-R4 Complaint (pdf) (581.12 KB)
FY18,Closed,01X-18-R9,"City of Wilmington, CA",03/12/2018,None Stated,Rejected 4/20/2018: Lack of Jurisdiction,01X-18-R9 Correspondence (pdf) (21.94 MB)
FY18,Closed,01X-18-R6,Texas Dept. of Criminal Justice,03/06/2018,None Stated,Rejected/Referred to DOJ 3/13/2018: Lack of Jurisdiction,01X-18-R6 Complaint (pdf) (1.67 MB)
FY17,Closed,25R-17-R2,Bristol-Myers Squibb,09/20/2017,Title VI: Race,Rejected 11/13/2017: Lack of Jurisdiction,25R-17-R2 Complaint (pdf) (5.58 MB)
FY17,Closed,22RD-17-R3,"City of Norfolk, VA",08/16/2017,"Title VI: Race

Section 504:
Disability",Rejected Without Prejudice 5/17/2018: Not Ripe for Investigation,23RD-17-R3 Complaint (pdf) (605.58 KB)
FY17,Closed,24RD-17-R3,"Norfolk Redev. and Housing Auth., VA",08/16/2017,"Title VI: Race

Section 504:
Disability",Rejected Without Prejudice 5/17/2018: Not Ripe for Investigation,24RD-17-R3 Complaint (pdf) (605.58 KB)
FY17,Closed,21X-17-R9,"Redlands, CA Resident",07/25/2017,None,Rejected/Closed 7/31/2017: No Discrimination Alleged,21X-17-R9 Complaint (pdf) (1.49 MB)
FY17,Closed,22D-17-R3,"Franklin Township,
Butler County, PA",07/11/2017,"Section 504:
Disability",Rejected 9/8/2017: Lack of Jurisdiction,22D-17-R3 Complaint (pdf) (311.95 KB)
FY17,Closed,20S-17-R10,Marketeering Group,06/03/2017,"Sex Discrimination
in Employment",Rejected/Closed 6/8/2017: Lack of Jurisdiction,20S-17-R10 Complaint (pdf) (367.42 KB)
FY17,Closed,19X-17-R7,"Miller County Health
Dept. (MO)",05/16/2017,None,Rejected 6/19/2017: Lack of Jurisdiction – No Discrimination Alleged,19X-17-R7 Complaint (pdf) (296.89 KB)
FY17,Closed,18X-17-R5,"Village of Barrington, IL",05/10/2017,None,Rejected 9/14/2017: Lack of Jurisdiction – No Discrimination Alleged,18X-17-R5 Complaint (pdf) (366.34 KB)
FY17,Closed,17X-17-R4,"Franklin Correctional Inst., NC",05/01/2017,None,Rejected 8/11/2017: Lack of Jurisdiction,17X-17-R4 Complaint (pdf) (374.92 KB)
FY17,Closed,16R-17-R4,Alabama Dept. of Envir. Mgmt. (Stone's Throw Landfill),04/28/2017,Title VI: Race,"Resolved 12/10/2018: Preliminary Findings of Insufficient Evidence of
Discrimination",16R-17-R4 Complaint (pdf) (155.19 KB)
FY17,Closed,15X-17-R7,"City of Merriam, KS",04/11/2017,None,Rejected and Referred 4/12/2017: Lack of Jurisdiction,15X-17-R7 Complaint (pdf) (476.46 KB)
FY17,Closed,13R-17-R9,"City of Oakland, CA & Board of Port Commissioners",04/05/2017,"Title VI: Race;
National Origin",Resolved Through Informal Resolution Agreement 7/25/2019; Monitoring Completed and Case Closed 12/19/2019,13R-17-R9 Complaint (pdf) (1.75 MB)
FY17,Closed,14R-17-R9,Port of Oakland & Board of Port Commissioners,04/05/2017,Title VI: Race,Resolved Through Informal Resolution Agreement 7/25/2019; Monitoring Completed and Case Closed 11/27/2019,14R-17-R9 Complaint (pdf) (1.75 MB)
FY17,Closed,11D-17-R7,"City of Merriam, KS",03/31/2017,"Section 504:
Disability",Rejected 11/24/2017: Lack of Jurisdiction,11D-17-R7 Complaint (pdf) (554.28 KB)
FY17,Closed,12D-17-R7,"City of Overland Park Fire Dept., KS",03/31/2017,"Section 504:
Disability",Rejected 11/24/2017: Lack of Jurisdiction,12D-17-R7 Complaint (pdf) (553.7 KB)
FY17,Closed,10D-17-R4,"City of Tallahassee, FL",02/07/2017,"Section 504:
Disability",Rejected 3/1/2018: Lack of Jurisdiction,10D-17-R4 Complaint (pdf) (370.92 KB)
FY17,Closed,09D-17-R9,"City of South Lake Tahoe, CA",02/06/2017,"Section 504:
Disability",Rejected 12/27/2018: Allegation Not Grounded in Fact/Not Appropriate for Investigation/Untimely,09D-17-R9 Complaint (pdf) (696.17 KB)
FY17,Closed,07R-17-R7,Missouri DNR,12/27/2016,Title VI: Race,Rejected 7/13/2018: Untimely Filed,07R-17-R7 Complaint (pdf) (516.22 KB)
FY17,Closed,08R-17-R7,"Kansas City, MO Health Dept.",12/26/2016,Title VI: Race,"Administratively Closed
8/14/2017: Complainant
Withdrew Complaint",08R-17-R7 Complaint (pdf) (516.22 KB)
FY17,Closed,06X-17-R5,Wisconsin Dept. of Corrections,11/30/2016,None,Rejected and Referred to DOJ 8/3/2017: Lack of Jurisdiction,06X-17-R5 Complaint (pdf) (1.15 MB)
FY17,Closed,03D-17-R4,Kentucky Energy & Envir. Cabinet,11/29/2016,"Section 504:
Disability",Rejected 9/15/2017: Allegation Not Grounded in Fact/Not Appropriate for Investigation,"03D-17-R4 Complaint Email (pdf) (53.53 KB)
03D-17-R4 DOJ Complaint (pdf) (609.86 KB)
03D-17-R4 Complaint Attach1 (pdf) (4.98 MB)
03D-17-R4 Complaint Attach2 (pdf) (165.3 KB)
03D-17-R4 Complaint Attach3 (pdf) (7.95 MB)"
FY17,Closed,04D-17-R9,"AvalonBay
Communities, Inc.",11/29/2016,"Section 504/ADA:
Disability",Rejected 11/3/2017: Lack of Jurisdiction,04D-17-R9 Complaint (pdf) (1.61 MB)
FY17,Closed,05D-17-R9,Oakwood Worldwide,11/29/2016,"Section 504/ADA:
Disability",Rejected 11/3/2017: Lack of Jurisdiction,05D-17-R9 Complaint (pdf) (1.61 MB)
FY17,Closed,02R-17-R9,Calif. Air Resources Board,11/14/2016,Title VI: Race,Administratively Closed 12/5/2016: Complainant Withdrew Complaint,02R-17-R9 Complaint (pdf) (25.28 MB)
FY17,Closed,01R-17-R5,Illinois EPA,11/02/2016,Title VI: Race,Rejected 11/24/2017: Lack of Jurisdiction; Untimely Filed,"01R-17-R5 Complaint (pdf) (657.7 KB)
01R-17-R5 WH Corr 1 (pdf) (237.5 KB)
01R-17-R5 WH Corr 2 (pdf) (9.55 KB)"
FY16,Closed,48X-16-R6,Lewis Unit (TX),09/23/2016,None,"Resolved and closed
administratively 12/19/2016: provided EPA contact re: injection of flotation foam for boats",48X-16-R6 Complaint (pdf) (409.36 KB)
FY16,Closed,46R-16-R4,Lee County (FL) School District,09/22/2016,"Title VI: Race,
National Origin","Rejected 5/1/2017: Lack of
Jurisdiction",46R-16-R4 Complaint (pdf) (2.96 MB)
FY16,Resolved/In Monitoring,44RNO-16-R9,Hawaii Dept. of Agriculture,09/15/2016,"Title VI: Race,
National Origin",Resolved Through Informal Resolution Agreement 5/30/2019; In Monitoring,44RNO-16-R9 Complaint (pdf) (820.69 KB)
FY16,Resolved/In Monitoring,45RNO-16-R9,Hawaii Agribusiness Dev. Corp.,09/15/2016,"Title VI: Race,
National Origin",Resolved Through Informal Resolution Agreement 8/29/2019; In Monitoring,45RNO-16-R9 Complaint (pdf) (820.69 KB)
FY16,Closed,47U-16-R4,NC Dept. of Public Safety,09/12/2016,"Unknown (envir.
conditions)",Rejected and Referred (DOJ) 11/9/2017: Lack of Jurisdiction,47U-16-R4 Complaint (pdf) (677.4 KB)
FY16,Closed,42D-16-R9,"Bay Area Air Quality Monitoring District, CA",08/31/2016,"Section 504:
Disability","Rejected 8/30/2018:
Investigation Unwarranted - issue raised in complaint resolved",42D-16-R9 Complaint (pdf) (56.59 KB)
FY16,Closed,43X-16-R4,"Casa Verde Mobile Homes, FL",08/31/2016,"Unknown (envir.
conditions)","Admin Closure/Referral
10/11/2016: No complainant contact information, no allegation of discrimination - referred corresp. to EPA HQ and Region 4 Drinking Water staff",43X-16-R4 Complaint (pdf) (221.45 KB)
FY16,Closed,40D-16-R4,"Habitat for Humanity Jacksonville, FL",08/30/2016,"Section 504:
Disability","Rejected 11/3/2017: Lack of recipient jurisdiction, provided FDEP contact re: envir. concerns",40D-16-R4 Complaint (pdf) (399.84 KB)
FY16,Closed,41D-16-R4,"City of Jacksonville, FL",08/30/2016,"Section 504:
Disability",Rejected 11/3/2017: Not timely filed,41D-16-R4 Complaint (pdf) (427.76 KB)
FY16,Closed,39R-16-R9,CA Dept. of Toxic Substances Control,08/26/2016,Title VI: Race,Rejected 10/15/2018: Further Investigation Unwarranted – issue raised in complaint resolved,39R-16-R9 Complaint (pdf) (2.62 MB)
FY16,Closed,38r-16-R4,Alabama Dept. of Envir. Mgmt. (Arrowhead Landfill - Retaliation),08/19/2016,Title VI: Retaliation,Accepted and Admin Closure 10/5/2016: Incorporated into then-Pending Investigation of 12R-13-R4,38r-16-R4 Complaint (pdf) (65.1 MB)
FY16,Closed,37r-16-R4,N.C. Dept. of Envir. Quality – Pork CAFO (Retaliation),07/11/2016,Title VI: Retaliation,Accepted and Admin Closure 8/2/2016: Incorporated into then-Pending Investigation of 11R-14-R4,37r-16-R4 Complaint (pdf) (13.72 MB)
FY16,Closed,36R-16-R9,"City and County of Honolulu, HI",06/30/2016,Title VI: Race,"Referred (EEOC) 2/16/2017: Lack
of Jurisdiction","36R-16-R9 Incoming Complaint to DOL (pdf) (336.74 KB)
36R-16-R9 DOL Referral 11-4-2015 (pdf) (128.16 KB)
36R-16-R9 2016 07 01 DOL Corr from Complainant (pdf) (196.93 KB)"
FY16,Closed,34RNO-16-R10,"Yakima Regional Clean Air Auth., WA",06/11/2016,"Title VI: Race,
National Origin","Resolved Through Informal Resolution Agreement: 8/9/2019;
Monitoring Completed and Case Closed 8/19/2020","34RNO-16-R10 Complaint (pdf) (510.49 KB)
34RNO-16-R10 Complaint Attachment (pdf) (1.7 MB)"
FY16,Closed,35RNO-16-R10,WA Dept. of Ecology,06/11/2016,"Title VI: Race,
National Origin",Rejected 2/11/2019: Lack of alleged covered discriminatory act,"35RNO-16-R10 Complaint (pdf) (510.49 KB)
35RNO-16-R10 Complaint Att 1 (pdf) (1.21 MB)
35RNO-16-R10 Complaint Att 2 (pdf) (885.44 KB)"
FY16,Closed,32D-16-R9,"Santa Clara County, CA",06/06/2016,"ADA/Section 504:
Disability",Rejected and Referred (HHS) 11/3/2017: Lack of Jurisdiction,32D-16-R9 Complaint (pdf) (650.62 KB)
FY16,N/A,33TA-16-R3,DE Dept. of Nat. Res. and Envir. Control,06/03/2016,N/A,Technical Assistance to Recipient,33TA-16-R3 DDNREC TA Initiation E-mail (pdf) (16.38 KB)
FY16,Closed,31R-16-R4,"St. John’s County, FL",05/17/2016,"Title VI: Race,
retaliation",Rejected and Closed 3/1/2018: Investigation Unwarranted- insufficiently grounded in fact,"31R-16-R4 2016 05 17 Complaint (pdf) (206.85 KB)
31R-16-R4 2016 05 19 Complaint (pdf) (303.15 KB)"
FY16,Closed,28R-16-R3,MD Public Service Comm.,05/11/2016,Title VI: Race,"Resolved Through EPA/DOT joint Informal Resolution Agreement:
1/30/2019; Monitoring conducted by DOT",28R-16-R3 Complaint (pdf) (1.66 MB)
FY16,Closed,29R-16-R3,"MD Dept. of
Envir. (Brandywine)",05/11/2016,Title VI: Race,Resolved Through EPA/DOT joint Informal Resolution Agreement: 1/30/2019; Monitoring Completed and Case Closed 12/15/2020,29R-16-R3 Complaint (pdf) (1.66 MB)
FY16,Closed,30R-16-R3,MD Dept. of Nat. Res.,05/11/2016,Title VI: Race,Resolved Through EPA/DOT joint Informal Resolution Agreement: 1/30/2019; Monitoring Completed and Case Closed 2/6/2020,30R-16-R3 Complaint (pdf) (1.66 MB)
FY16,Resolved/In Monitoring,27R-16-R6,Arkansas DEQ,04/26/2016,Title VI: Race,Resolved Through Informal Resolution Agreement: 1/8/2021; In Monitoring,27R-16-R6 Complaint and Exhibits (pdf) (4.17 MB)
FY16,Closed,26R-16-R6,"City of Dallas, TX",04/25/2016,Title VI: Race,Rejected 9/19/2018: Investigation Unwarranted- insufficiently grounded in fact,"26R-16-R6 Complaint Cover Email (pdf) (33.75 KB)
26R-16-R6 Complaint (pdf) (321.96 KB)"
FY16,N/A,25TA-16-R2,New York Dept. of Envir. Cons.,04/22/2016,N/A,Technical Assistance to Recipient,25TA-16-R2 Technical Assistance Initiation Ltr (pdf) (570.29 KB)
FY16,Closed,24R-16-R5,"U.S. EPA, Region 5",04/18/2016,Title VI: Race,"Rejected 6/6/2016: Lack of recipient status, further action referred to EPA Region 5",24R-16-R5 Complaint (pdf) (193.32 KB)
FY16,Closed,22R-16-R4,Florida Dept. of Envir. Protection,03/19/2016,Title VI: Race,Rejected 3/1/2018: Investigation Unwarranted- insufficiently grounded in fact,"22R-16-R4 Complaint 2016-03-19 (pdf) (521.29 KB)
22R-16-R4 Complaint 2016-03-22 (pdf) (1.18 MB)
22R-16-R4 Complaint 2016-03-22 Attachment (pdf) (855.93 KB)"
FY16,Closed,21X-16-R3,"Not Provided by
Complainant",03/17/2016,"Unknown (envir.
conditions)","Rejected 6/7/2017: Insufficient information to determine jurisdiction, provided contact information of Prince George’s County, MD re: Noise Ordinance","21X-16-R3 Complaint (pdf) (161.18 KB)
21X-16-R3 Complaint Refile (pdf) (210.53 KB)"
FY16,Closed,16U-16-R9,"Sacramento Air Quality Mgmt. District, CA",03/08/2016,"Unknown
(corruption in
agency)","Rejected 8/29/2017: Lack of timeliness, lack of discriminatory act/basis",16U-16-R9 Complaint (pdf) (148.95 KB)
FY16,Closed,17RD-16-R5,Michigan Dept. of Envir. Quality,03/08/2016,"Title VI: Race
Section 504:
Disability",Resolved Through Informal Resolution Agreement: 12/4/2019; Monitoring Completed and Case Closed 1/5/2021,"17RD-16-R5 2015-01-22 Complaint (pdf) (10.29 KB)
17RD-16-R5 2015-01-24 Complaint (pdf) (11.7 KB)
17RD-16-R5 2015-01-30 Complaint (pdf) (11.58 KB)
17RD-16-R5 2015-02-25 Complaint (pdf) (98.57 KB)
17RD-16-R5 2015-02-25 Complaint Attach - City Notification (pdf) (315.87 KB)
17RD-16-R5 2015-02-25 Complaint Attach - DEQ NOV (pdf) (154.94 KB)"
FY16,Resolved/In Monitoring,18RD-16-R5,"Genesee County, MI",03/08/2016,"Title VI: Race
Section 504:
Disability",Resolved Through Informal Resolution Agreement: 12/19/2019; In Monitoring,"18RD-16-R5 2015-01-22 Complaint (pdf) (10.29 KB)
18RD-16-R5 2015-01-24 Complaint (pdf) (11.7 KB)
18RD-16-R5 2015-01-30 Complaint (pdf) (11.58 KB)
18RD-16-R5 2015-02-25 Complaint (pdf) (98.57 KB)
18RD-16-R5 2015-02-25 Complaint Attach - City Notification (pdf) (315.87 KB)
18RD-16-R5 2015-02-25 Complaint Attach - DEQ NOV (pdf) (154.94 KB)"
FY16,Resolved/In Monitoring,19RD-16-R5,"City of Flint, MI",03/08/2016,"Title VI: Race

Section 504:
Disability",Resolved Through Informal Resolution Agreement: 3/4/2020; In Monitoring,"19RD-16-R5 2015-01-22 Complaint (pdf) (10.29 KB)
19RD-16-R5 2015-01-24 Complaint (pdf) (11.7 KB)
19RD-16-R5 2015-01-30 Complaint (pdf) (11.58 KB)
19RD-16-R5 2015-02-25 Complaint (pdf) (98.57 KB)
19RD-16-R5 2015-02-25 Complaint Attach - City Notification (pdf) (315.87 KB)
19RD-16-R5 2015-02-25 Complaint Attach - DEQ NOV (pdf) (154.94 KB)"
FY16,Closed,15R-16-R4,"DeKalb County, GA",03/04/2016,Title VI: Race,Rejected 9/1/2017: Lack of discriminatory act,"15R-16-R4 Complaint (pdf) (524.81 KB)
15R-16-R4 DOJ Complaint and EPA Referral (pdf) (2.29 MB)"
FY16,Closed,49X-16-R5,Indiana Dept. of Trans.,02/25/2016,Title VI and NEPA,Rejected and Referred (FHWA) 5/19/2017: Lack of Jurisdiction,49X-16-R5 Complaint (pdf) (63.79 KB)
FY16,Closed,20X-16-R4,Not Provided by Complainant,02/24/2016,Unknown,"Rejected 8/31/2016: Lack of jurisdiction, referral unwarranted","20X-16-R4 Complaint (pdf) (575.61 KB)
20X-16-R4 Complainant Response to EPA (pdf) (2.27 MB)"
FY16,Closed,11U-16-R4,Duke Power,02/04/2016,"Unknown (envir.
conditions)","Rejected/Referred 11/2/2017: Lack of recipient status, envir.
conditions referred to EPA R4 Drinking Water staff","11U-16-R4 Complaint (pdf) (104.38 KB)
11U-16-R4 Complaint Supp 1 (pdf) (61.64 KB)
11U-16-R4 Complaint Supp 2 (pdf) (63.21 KB)"
