epa_file_#,named_entity_x,clean_date_received_x,detailed_status,simplified status,Reason for rejection (if applicable),Date of EPA decision,"Presidential administration (considering, if pending; decided, if not)",Environmental Justice Issue(s) Cited,Alleged Discrimination Basis,City,State,ZIP code,Community Impacted,Filed by a lawyer?,Group filing,Filed on behalf of,Is this an EPA-initiated compliance review?,Does the complaint seem to be about an environmental justice matter? ,Notes on EJ categorization,Is there more than one complaint about the matter?,All related complaint numbers,"Total related complaints (includes situations where they're all unique, e.g. complaints filed at different times)","Count this as a unique complaint? (If part of a split complaint, the case with the highest EPA action status is marked ""yes"")",Complaint link,Notes,Additional notes,status check
01no-22-r10,puget sound clean air agency (wa),2022-01-11,rejected w/o prejudice - pending litigation: 1/4/2023,rejected,pending litigation,1/4/2023,Biden,Puget Sound Clean Air Agency approved an air permit for the Tacoma Liquified Natural Gas facility beside an EJ community,Title VI: National Origin,Tacoma,WA,98404,Puyallup tribal members,Probably [redacted],Puyallup Tribe of Indians,,No,Yes,,Yes,"02no-20-r10, 01no-22-r10, 01no-20-r10",3,yes,https://www.epa.gov/system/files/documents/2022-06/01NO-22-R10%20Complaint_Redacted.pdf,"Tribe name redacted, but I tracked it down online",,Rejected w/o Prejudice - Pending Litigation: 1/4/2023
01rno-22-r1,providence water supply board (ri),2022-01-05,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"Providence Water’s process for replacing lead service lines ""disproportionately increases the risk of lead exposure to Black, Latinx, and Native American residents, resulting in discriminatory effects"" because of the cost involved (more affluent residents -- largely white -- are better able to pay for replacement of the lines to their homes, leaving lower-income residents with higher risks as a result of partial replacement work)","Title VI: Race, National Origin",Providence,RI,multiple,"Black, Latino and Native American residents","Probably, but not noted as such",The Childhood Lead Action Project; South Providence Neighborhood Association; Direct Action for Rights and Equality; National Center for Healthy Housing and Environmental Defense Fund,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/01RNO-22-R1%20Complaint_Redacted.pdf,"EDF piece when EPA accepted the complaint for investigation: ""To our knowledge, this decision marks the first time ECRCO has agreed to examine a water utility and the all-too-common practice of requiring customers to pay to replace LSLs on private property as a potential civil rights violation. This decision should send a strong signal to other states and water utilities that use similar practices."" Link: https://blogs.edf.org/health/2022/03/18/update-epa-agrees-to-investigate-civil-rights-allegations-against-providence-waters-lead-service-line-replacement-practices/",,Pending: In Informal Resolution Agreement Negotiation
03drr-22-r5,michigan egle – (flint ii),2021-12-31,admin closure 12/14/2022: complaint withdrawn,closed: complaint withdrawn,,12/14/2022,Biden,"Unclear; I think the original complaint is about inability to get lead service lines replaced (this is an amended complaint alleging retaliation): ""VIOLATIONS of my HUD Fair Housing Rights on account of me being a poor, Disabled Black resident of the City of Flint [e.g. from the year late August 2017 - to present I have been a resident of the City of Flint {whereby I have literally lived in a home in Flint that had LEAD-WATER-SERVICE LINES}]""","Title VI: Race, Retaliation
Section 504: Disability",Flint,MI,redacted,"Unclear whether the complaint is about impacts only to the complainant, who is Black, or to the community",No,Redacted individual,,No,Possibly,It's not a clear complaint. There might be a connection to an inability to get lead water lines replaced.,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/03DRr-22-R5%20Complaint_Redacted.pdf,"It looks like this is an add-on complaint after an earlier one; this was amended to cite ""retaliation"" by the Detroit District Court’s Clerk's Office",,Admin Closure 12/14/2022: Complaint Withdrawn
01dar-22-r3,pa doh (wyoming county),2021-12-20,Rejected/Referred to HHS 4/8/2023: Lack of Jurisdiction,rejected and referred,Lack of jurisdiction,4/8/2023,Biden,"Related to oil and gas pollution in water supply, PA DOH discriminated against the complainants due to their age, resulting in them losing their home and much of their livelihood","Section 504: Disability:

Age Discrimination Act: Age

Title VI: Retaliation",North Branch Township,PA,not mentioned,older individuals,Yes,Redacted individuals,,No,Yes,,Yes,"01dar-22-r3, 02dar-22-r3, 03dr-22-r3, 04dr-22-r3",4,yes,https://www.epa.gov/system/files/documents/2022-10/01DAr-22-R3%20Complaint_Redacted_0.pdf,Lawyer is Lisa Johnson of Lisa Johnson & Associates,,Rejected/Referred to HHS 4/8/2023: Lack of Jurisdiction
02dar-22-r3,pa dep (wyoming county),2021-12-20,Rejected 4/10/2023: Untimely Filing of Complaint,rejected,untimely,4/10/2023,Biden,"Related to oil and gas pollution in water supply, PA DOH discriminated against the complainants due to their age, resulting in them losing their home and much of their livelihood","Section 504: Disability

Age Discrimination Act: Age

Title VI: Retaliation",North Branch Township,PA,not mentioned,older individuals,Yes,Redacted individuals,,No,Yes,,Yes,"01dar-22-r3, 02dar-22-r3, 03dr-22-r3, 04dr-22-r3",4,no,https://www.epa.gov/system/files/documents/2022-10/02DAr-22-R3%20Complaint_Redacted_0.pdf,This includes the attachments missing in the other one,,Rejected 4/10/2023: Untimely Filing of Complaint
03dr-22-r3,pa doh (susquehanna county),2021-12-20,Rejected/Referred to HHS 4/8/2023: Lack of Jurisdiction,rejected and referred,Lack of jurisdiction,4/8/2023,Biden,"Related to oil and gas pollution in water supply, PA DOH discriminated against the complainants ""by denying, obstructing, delaying, intimidating and retaliating ... and PADOH failed to provide any medical advice for Landowners, and in fact, ignored our requests as the Pennsylvania Environmental Protection advised PADOH not to follow up""","Section 504: Disability

Title VI: Retaliation",North Branch Township,PA,not mentioned,People with disabilities,Yes,Redacted individuals,,No,Yes,,Yes,"01dar-22-r3, 02dar-22-r3, 03dr-22-r3, 04dr-22-r3",4,no,https://www.epa.gov/system/files/documents/2022-10/03Dr-22-R3%20Complaint_Redacted.pdf,This is another complaint related to the other North Branch Township ones,,Rejected/Referred to HHS 4/8/2023: Lack of Jurisdiction
04dr-22-r3,pa dep (susquehanna county),2021-12-20,Rejected 4/10/2023: Untimely Filing of Complaint,rejected,untimely,4/10/2023,Biden,Related to oil and gas pollution in water supply,"Section 504: Disability

Title VI: Retaliation",North Branch Township,PA,not mentioned,People with disabilities,Yes,Redacted individuals,,No,Yes,,Yes,"01dar-22-r3, 02dar-22-r3, 03dr-22-r3, 04dr-22-r3",4,no,https://www.epa.gov/system/files/documents/2022-10/03Dr-22-R3%20Complaint_Redacted.pdf,This is another complaint related to the other North Branch Township ones,,Rejected 4/10/2023: Untimely Filing of Complaint
01rno-22-r9,pima county (az) deq,2021-12-19,Pending: In Informal Resolution Agreement Negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,Pima County DEQ's handling of the permitting process for a Becton Dickinson product sterilization facility (ethylene oxide) made it difficult for people to participate in a public hearing and open house meeting,"Title VI: Race, National Origin",Tucson,AZ,"In/near 85747, the project site","""Ethnic minority,"" low-income people",Unclear,Don't Waste Arizona,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/01RNO-22-R9%20Complaint_Redacted.pdf,More details about the facility: https://webcms.pima.gov/cms/One.aspx?portalId=169&pageId=740735,,Pending: In Informal Resolution Agreement Negotiation
01d-22-r2,puerto rico asa,2021-11-18,rejected/referred to eeoc 3/31/2022: lack of jurisdiction,rejected and referred,Lack of jurisdiction,3/31/2022,Biden,N/A; it's about a Puerto Rico agency's requirements for COVID vaccinations,Section 504: Disability,not mentioned,PR,not mentioned,not mentioned,No,Redacted individual,,No,No,Not an environmental issue,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/01D-22-R2%20Complaint_Redacted.pdf,,,Rejected/Referred to EEOC 3/31/2022: Lack of Jurisdiction
01rno-22-r5,michigan egle (flint i),2021-11-08,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"About approval (was expected at the time of the complaint; it did indeed occur) of a air permit for an asphalt plant and broader issues: ""This request for a compliance review reflects EGLE’s ongoing practice of providing inadequate services and protection to communities of color, immigrant communities, and people with disabilities throughout Michigan."" Site address: 5088 Energy Drive, Flint, Michigan 48505.","Title VI: Race, National Origin",Genesee Township (beside Flint),MI,Multiple (site: 48505),"Communities of color, immigrant communities and people with disabilities statewide; a low-income Black community is located beside the asphalt plant site",Yes,Great Lakes Environmental Law Center; Earthjustice,,No,Yes,,,,1,yes,https://www.detroitnews.com/story/news/environment/2022/02/14/flint-advocacy-groups-appealing-state-michigan-decision-allow-hot-mix-asphalt-plant-constructed-near/6782872001/,Advocacy site on the issue: https://www.etmflint.org/stop-ajax-asphalt,,Pending: In Informal Resolution Agreement Negotiation
02rno-22-r5,michigan egle (detroit),2021-11-08,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"EGLE decisions allowing Stellantis to significantly expand its auto-assembly facilities: ""EGLE’s decision to issue numerous permits requested for the Stellantis Complex in a short period, which allowed for a significant enlargement of air emissions in a lowincome community where nearly all residents within 1 mile are people of color already inundated by other industrial sources, amounts to discrimination of the basis of race, color, and national origin""","Title VI: Race, National Origin",Detroit,MI,Multiple (site: 48214),Black residents,Yes,Great Lakes Environmental Law Center ,redacted individuals,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/02RNO-22-R5%20Complaint_Redacted.pdf,,,Pending: In Informal Resolution Agreement Negotiation
01r-22-r4,"city of conyers, ga",2021-10-14,rejected/referred to hud 7/6/2022: lack of jurisdiction,rejected and referred,Lack of jurisdiction,7/6/2022,Biden,"Annexation and rezoning actions ""are discriminatory and have disenfranchised our community. ... Given the pending developments in the City of Conyers and Rockdale County, this problem can only become more acute in generating more flooding in yards, pollution discharge in water systems and soil erosion.""",Title VI: Race,Conyers,GA,30094,Primarily Black and people of color,No,Nob Hill Homeowners Association,,No,Yes,,Yes,"03r-22-r4, 01r-22-r4, 02r-22-r4",3,no,https://www.epa.gov/system/files/documents/2022-04/01r-21-r4-complaint_redacted.pdf,,,Rejected/Referred to HUD 7/6/2022: Lack of Jurisdiction
02r-22-r4,"rockdale county, ga",2021-10-14,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,City of Conyers and Rockdale County annexed and rezoned parcels for an apartment complex beside an area already suffering from flooding,Title VI: Race,Conyers,GA,30094,Primarily Black and people of color,No,Nob Hill Homeowners Association,,No,Yes,,Yes,"03r-22-r4, 01r-22-r4, 02r-22-r4",3,yes,https://www.epa.gov/system/files/documents/2022-04/2021-10-14_complaint_3.pdf,,,Pending: In Informal Resolution Agreement Negotiation
05rno-21-r4,north carolina dept. of envir. quality,2021-09-27,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"State issued permits authorizing swine waste management systems ""that lack necessary protections against air and water pollution at four industrial hog operations""","Title VI: Race, National Origin",Duplin and Sampson counties,NC,multiple,Primarily Black and Latino,Yes,Southern Environmental Law Center,Duplin County Branch of the North Carolina Conference of the National Association for the Advancement of Colored People; the North Carolina Poor People’s Campaign,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/05RNO-21-R4%20Complaint_Redacted.pdf,Unredacted complaint: https://www.southernenvironment.org/wp-content/uploads/2021/09/2021-09-27-Title-VI-Complaint-Index-DEQ-Biogas-Permits.pdf,,Pending: In Informal Resolution Agreement Negotiation
03no-21-r6,new mexico envir. dept.,2021-09-16,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"State discriminated against complainant during a virtual public hearing regarding the construction of an asphalt plant ""when I was denied a Spanish interpreter and discriminated against due to my nationality and my limited fluency in English. ... the ashalt plant construction directly affects the community of southern Santa Fe, where most have Spanish as their native language and many do not have advanced knowledge of the English language, let alone a level of English that would allow the understanding or handling of the technical jargon used in this hearing.""",Title VI: National Origin,Santa Fe,NM,Multiple (site: 87507),Spanish speakers,"Unclear (looks like environmental groups helped, so probably)",Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/03NO-21-R6%20Complaint%20_Redacted.pdf,"New Mexico Environmental Law Center and Earth Care New Mexico are involved, according to this story: https://finance.yahoo.com/news/group-claims-discrimination-over-hearing-040100201.html?guccounter=1",,Pending: In Informal Resolution Agreement Negotiation
03r-21-r5,kalamazoo county,2021-09-01,rejected 11/24/2021: untimely filed,rejected,untimely,11/24/2021,Biden,"County of Kalamazoo and EGLE of Michigan discriminating by allowing expansion by ""a polluter known to be out of compliance for toxic releases into the air and water,"" and EGLE found ""Graphic Packaging operating without an air permit but did not shut them down""",Title VI: Race,Kalamazoo,MI,"not mentioned (""Northside of Kalamazoo"")",Primarily Black residents,No,Redacted individual,,No,Yes,,Yes,"03r-21-r5, 04r-21-r5",2,no,https://www.epa.gov/system/files/documents/2022-06/03R-21-R5%20Complaint_Redacted.pdf,"EPA split this into two because the county portion was untimely, but not the state portion",,Rejected 11/24/2021: Untimely Filed
04r-21-r5,michigan egle (kalamazoo),2021-09-01,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"County of Kalamazoo and EGLE of Michigan discriminating by allowing expansion by ""a polluter known to be out of compliance for toxic releases into the air and water,"" and EGLE found ""Graphic Packaging operating without an air permit but did not shut them down""",Title VI: Race,Kalamazoo,MI,"not mentioned (""Northside of Kalamazoo"")",Primarily Black residents,No,Redacted individual,,No,Yes,,Yes,"03r-21-r5, 04r-21-r5",2,yes,https://www.epa.gov/system/files/documents/2022-06/03R-21-R5%20Complaint_Redacted.pdf,"EPA split this into two because the county portion was untimely, but not the state portion",,Pending: In Informal Resolution Agreement Negotiation
02rno-21-r2,new york state dept. of envir. conservation,2021-08-30,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"The DEC, NY State Department of Public Service and National Grid discriminated regarding a proposed gas pipeline. (DEC, for instance, did an environmental analysis for one part of a proposed gas pipeline affecting white communities and found no environmental impact, ""but illegally segmented and failed to review the pipeline that ran through Black and Brown communities."")","Title VI: Race, National Origin",Brooklyn,NY,multiple,Predominantly Black and Latino residents,Yes,National Center for Law and Economic Justice; the New York Law School Civil Rights and Disability Justice Clinic,Brownsville Green Justice; the Ocean Hill-Brownsville Coalition of Young Professionals; Mi Casa Resiste; the Indigenous Kinship Collective,No,Yes,,Yes,"02rno-21-r2, 03rno-21-r2, 04rno-21-r2",3,yes,https://www.epa.gov/system/files/documents/2022-06/02RNO-21-R2%20Complaint_Redacted.pdf,Unredacted complaint: https://nclej.org/wp-content/uploads/2021/08/brownsville-green-justice-title-vi-complaint.pdf. Press release: https://nclej.org/news/complaint-against-national-grid-nys-brownsville-pipeline,,Pending: In Informal Resolution Agreement Negotiation
03rno-21-r2,new york dept. of public service,2021-08-30,"not accepted for investigation 10/21/2021: lack of jurisdiction (accepted by dot; dot, epa, dec and dps are coordinating on informal resolution agreement negotiation",rejected,"Lack of jurisdiction, pending other agency investigation",10/21/2021,Biden,"The DEC, NY State Department of Public Service and National Grid discriminated regarding a proposed gas pipeline. ","Title VI: Race, National Origin",Brooklyn,NY,multiple,Predominantly Black and Latino residents,Yes,National Center for Law and Economic Justice; the New York Law School Civil Rights and Disability Justice Clinic,Brownsville Green Justice; the Ocean Hill-Brownsville Coalition of Young Professionals; Mi Casa Resiste; the Indigenous Kinship Collective,No,Yes,,Yes,"02rno-21-r2, 03rno-21-r2, 04rno-21-r2",3,no,https://www.epa.gov/system/files/documents/2022-06/02RNO-21-R2%20Complaint_Redacted.pdf,Unredacted complaint: https://nclej.org/wp-content/uploads/2021/08/brownsville-green-justice-title-vi-complaint.pdf. Press release: https://nclej.org/news/complaint-against-national-grid-nys-brownsville-pipeline,,"Not Accepted for Investigation 10/21/2021: Lack of Jurisdiction (Accepted by DOT; DOT, EPA, DEC and DPS are Coordinating on Informal Resolution Agreement Negotiation"
04rno-21-r2,national grid,2021-08-30,"not accepted for investigation 10/21/2021: lack of jurisdiction (coordinating with doj, dot, doe)",rejected,"Lack of jurisdiction, coordinating with other agencies",10/21/2021,Biden,"The DEC, NY State Department of Public Service and National Grid discriminated regarding a proposed gas pipeline. ","Title VI: Race, National Origin",Brooklyn,NY,multiple,Predominantly Black and Latino residents,Yes,National Center for Law and Economic Justice; the New York Law School Civil Rights and Disability Justice Clinic,Brownsville Green Justice; the Ocean Hill-Brownsville Coalition of Young Professionals; Mi Casa Resiste; the Indigenous Kinship Collective,No,Yes,,Yes,"02rno-21-r2, 03rno-21-r2, 04rno-21-r2",3,no,https://www.epa.gov/system/files/documents/2022-06/02RNO-21-R2%20Complaint_Redacted.pdf,Unredacted complaint: https://nclej.org/wp-content/uploads/2021/08/brownsville-green-justice-title-vi-complaint.pdf. Press release: https://nclej.org/news/complaint-against-national-grid-nys-brownsville-pipeline,,"Not Accepted for Investigation 10/21/2021: Lack of Jurisdiction (Coordinating with DOJ, DOT, DOE)"
02r-21-r6,texas comm. on envir. quality,2021-08-18,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"TCEQ's renewal of an operating permit for Oxbow’s calcined coke facility in Port Arthur, without Best Available Control Technologies and effective compliance plan; the site is one of the highest emitters of sulfur dioxide in Texas and is beside the West Port Arthur neighborhood",Title VI: Race,Port Arthur,TX,"not mentioned (""West Port Arthur"")",Primarily Black residents,Yes,Lone Star Legal Aid; Environmental Integrity Project,Port Arthur Community Action Network,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/02R-21-R6%20Complaint_Redacted.pdf,Unredacted complaint: https://environmentalintegrity.org/wp-content/uploads/2021/08/2021.08.18_Oxbow-Title-VI-Complaint-Final.pdf. Press release: https://environmentalintegrity.org/news/groups-demand-epa-investigate-texas-industrial-plant-for-civil-rights-violations. Grist had a big investigation on this plant recently: https://grist.org/project/accountability/koch-oxbow-port-arthur-texas-clean-air-act-pollution/,,Pending: In Informal Resolution Agreement Negotiation
03r-21-r3,virginia dept. of envir. quality,2021-07-21,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"Ignoring impact from a proposed Wegmans Distribution Center on a community formed by formerly enslaved people, already disproportionately impacted by pollution; also, the earlier rezoning occurred during a stay-at-home order amid the pandemic and the community was unable to participate in the hearing ",Title VI: Race,Ashland (Brown Grove),VA,23005,Primarily Black residents,No,Redacted individual,,No,Yes,,Yes,"03r-21-r3, 04r-21-r3",2,yes,https://www.epa.gov/system/files/documents/2022-06/03R-21-R3%20Complaint_Redacted.pdf,"From the complaint: ""Brown Grove was established by freed people after the Civil War and has suffered from over 60+ years of government sponsored discrimination since the construction of Interstate 95 split the community in half. With 2 interchanges to the interstate, much of the industrial development in Hanover County has been focused on this community."" A news story: https://www.bayjournal.com/news/growth_conservation/wegmans-site-under-construction-in-brown-grove-va/article_2352ed56-dac8-11ec-bd9f-1fb4d9f7bbfe.html",,Pending: In Informal Resolution Agreement Negotiation
04r-21-r3,"hanover county, va",2021-07-21,rejected 8/12/2021: lack of jurisdiction,rejected,Lack of jurisdiction,8/12/2021,Biden,"Ignoring impact from a proposed Wegmans Distribution Center on a community formed by formerly enslaved people, already disproportionately impacted by pollution; also, the earlier rezoning occurred during a stay-at-home order amid the pandemic and the community was unable to participate in the hearing ",Title VI: Race,Ashland (Brown Grove),VA,23005,Primarily Black residents,No,Redacted individual,,No,Yes,,Yes,"03r-21-r3, 04r-21-r3",2,no,https://www.epa.gov/system/files/documents/2022-06/03R-21-R3%20Complaint_Redacted.pdf,"From the complaint: ""Brown Grove was established by freed people after the Civil War and has suffered from over 60+ years of government sponsored discrimination since the construction of Interstate 95 split the community in half. With 2 interchanges to the interstate, much of the industrial development in Hanover County has been focused on this community."" A news story: https://www.bayjournal.com/news/growth_conservation/wegmans-site-under-construction-in-brown-grove-va/article_2352ed56-dac8-11ec-bd9f-1fb4d9f7bbfe.html",,Rejected 8/12/2021: Lack of Jurisdiction
01ds-21-r2,"borough of sayreville, nj",2021-06-29,rejected 7/23/2021: lack of jurisdiction,rejected,Lack of jurisdiction,7/23/2021,Biden,Situation redacted,"Section 504/Title IX: Disability, Sex",Sayreville,NJ,not mentioned,"""Family status"" and ""sex"" were listed as personal characteristics relevant to the complaint",No,Redacted individual,,No,Unclear,Largely redacted,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/01X-21-R2%20Complaint_Redacted.pdf,Pretty much entirely redacted,,Rejected 7/23/2021: Lack of Jurisdiction
02d-21-r3,maryland dept. of environment,2021-06-01,rejected 7/28/2021: untimely filed/same complaint pending with eeoc,rejected,"untimely, pending with other agency",7/28/2021,Biden,Situation redacted,"Section 504: Disability, Employment",Randallstown,MD,21133,A person with disabilities,No,Redacted individual,,No,Unlikely,Looks like an employment situation involving an environmental agency,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/02D-21-R3%20Complaint_Redacted.pdf,,,Rejected 7/28/2021: Untimely Filed/Same Complaint Pending with EEOC
01rno-21-r6,texas dept. of transportation,2021-05-28,"rejected 6/24/2021: same complaint pending with lead agency, u.s. dot",rejected,pending with another agency,6/24/2021,Biden,North Houston Highway Improvement Project's displacement and pollution will disproportionately impact people of color ,"Title VI: Race, National Origin",Houston,TX,multiple,Residents of color,Yes,"Air Alliance Houston; LINK Houston; Stop TxDOT I-45; Texas Housers; Coalition for Environment, Equity and Resilience; National Black Environmental Justice Network; Environment Texas; Environmental Integrity Project; Texas Campaign for the Environment; Greater Houston Coalition for Justice; Texas Appleseed; Coalition of Community Organizations; One Breath Partnership",,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/01RNO-21-R6%20Complaint_Redacted.pdf,"""On February 22, 2021, the Federal Highway Administration informed us that our letter to the Texas DOT was being treated as a Title VI complaint and had been assigned to that agency’s Office of Civil Rights. ... We request that EPA carefully exercise its authorities and responsibilities relating to these issues raised by the NHHIP, with a focus on assuring not only that the minimum substantive and procedural requirements of federal law are complied with, but also ensuring, in coordination with the Civil Rights Office of the Federal Highway Administration, that the Project’s deficiencies from an environmental justice perspective and TxDOT’s noncompliance with Title VI be fully investigated and satisfactorily corrected and mitigated."" But the agency declined to investigate because FHA already is.",,"Rejected 6/24/2021: Same Complaint Pending with Lead Agency, U.S. DOT"
02r-21-r5,upper miss. river basin association,2021-05-28,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"Association is ""knowingly and deliberately excluding people of color living in the Mississippi River floodplain areas from participating in the development of programs, projects and policies related to flooding along the Mississippi River.""",Title VI: Race,Upper Mississippi River Basin region,Multiple,multiple,Residents of color,No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/02R-21-R5%20Complaint_Redacted.pdf,"Complainant is from East Moline, IL 61244. Quote from complaint: ""There are many studies that show flooding disproportionately impacts communities of color. Therefore, it is inappropriate for UMRBA to conduct any type of flood study without consulting these communities. And to continue to do so after the failing was pointed out to them is explicitly racist.""",,Pending: In Informal Resolution Agreement Negotiation
04x-21-r4,south carolina agencies,2021-05-25,rejected 7/7/2021: lack of information/complainant non-responsive,rejected,lack of information/complainant non-responsive,7/7/2021,Biden,"None listed; it appears to be about the impact of a false police report on a disadvantaged business enterprise application, or at least both items are mentioned",Unknown,Charleston,SC,29403,Not mentioned,No,Redacted individual,,No,No,"Cites a false police report, not environmental discrimination",,,1,yes,https://www.epa.gov/system/files/documents/2022-06/04X-21-R4%20Complaint_Redacted.pdf,,,Rejected 7/7/2021: Lack of Information/Complainant Non-Responsive
03r-21-r4,tenn. dept. of envir. and conservation,2021-05-21,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"Issuing a permit for a proposed crude oil pipeline ""that would run directly through the municipal wellfield that supplies drinking water for historic Black neighborhoods in Memphis"" (southwest Memphis, specifically)",Title VI: Race,Memphis,TN,"38109, others",Primarily Black residents,Yes,Southern Environmental Law Center,Memphis Community Against Pollution Inc.,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/03R-21-R4%20Complaint_Redacted.pdf,"""The proposed route cuts through the heart of Boxtown, a freedmen’s community established by formerly enslaved people following the Emancipation Proclamation of 1863.15 Residents in the neighborhood’s zip code, 38109, are 97% Black,16 and nearly half of the households have an income below $25,000 a year. ... Rather than lead Byhalia to look elsewhere, the environmental injustice in southwest Memphis is precisely why Byhalia chose this route. ... Explaining the circuitous route to landowners, a  land agent disclosed that Byhalia saw southwest Memphis—poor, Black, already polluted—as the 'point of least resistance.'""",,Pending: In Informal Resolution Agreement Negotiation
02ad-21-r4,epa region 4,2021-03-26,rejected 4/30/2021: lack of jurisdiction,rejected,Lack of jurisdiction,4/30/2021,Biden,"EPA won't start a Cumulative Risk Health Assessment for veterans exposed to toxics at the former Army base of Fort McClellan, Alabama","Section 504/Age Act: Disability, Age",Anniston,AL,36201,"Veterans, older people",No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/02AD-21-R4%20Complaint_Redacted.pdf,"""The veterans do hereby allege that the unified refusal to cooperate with a valid access attempt by the veterans to commence a Cumulative Risk Health Assessment project at the EPA, has amounted to a discrimination practice to block, refuse, and deny legitimate agency services by reason of their environmental toxic exposures related health conditions, handicaps, and disabilities which are medically matching to the known and documented toxic sources from the former Army base of Fort McClellan, Alabama."" The complaint said no one responded to multiple requests for information and help. Separate -- link to some details about toxic exposures there: https://www.publichealth.va.gov/exposures/fort-mcclellan/",,Rejected 4/30/2021: Lack of Jurisdiction
02r-21-r3,"philadelphia dept. of health, pa",2021-03-05,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"Agency issued a permit to a gas-fueled power plant in the Nicetown neighborhood, ""already heavily burdened with toxic air emissions from multiple sources""",Title VI: Race,Philadelphia,PA,19140,Primarily Black residents,Unclear (possibly),"Pennsylvanians Organized to Witness, Empower, and Rebuild",,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/02R-21-R3%20Complaint_Redacted.pdf,,,Pending: In Informal Resolution Agreement Negotiation
01r-21-r4,"town of trenton, nc",2021-03-05,rejected 3/22/2021: lack of jurisdiction,rejected,Lack of jurisdiction,3/22/2021,Biden,"Two schools built in communities of color were not permitted to connect to the public sewage system, resulting in septic tank overflows that made students and teachers sick. (Dates given are 1951-2017)",Title VI: Race,Trenton,NJ,not mentioned,Communities of color,No,Redacted individual,,No,Yes,A past issue; there would be a timeliness issue if not a jurisdictional one,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/01R-21-R4%20Complaint_Redacted.pdf,,,Rejected 3/22/2021: Lack of Jurisdiction
01r-21-r3,"city of ranson, wv",2021-01-08,rejected 1/28/2021: lack of jurisdiction,rejected,Lack of jurisdiction,1/28/2021,Biden,Rezoning and other actions/inactions affecting Black cemeteries,Title VI: Race,Kearneysville,WV,25430,Black residents and deceased residents,Unclear,Rural Agricultural Defenders,,No,Yes,,Possibly,"03R-19-R3, 04R-19-R3",2,yes,https://www.epa.gov/system/files/documents/2022-06/01R-21-R3%20Complaint_Redacted.pdf,,,Rejected 1/28/2021: Lack of Jurisdiction
