11R-14-R4,NC DEQ,9/3/2014,Title VI: Race,"Resolved and Closed Through
ADR Settlement: 5/7/2018"
,,,"Section 504:
Disability",
13R-14-R6,"Albuquerque-Bernalillo
County Air Quality
Control Board (NM);
City of Albuquerque Air
Quality Division",9/16/2014,Title VI: Race,"Pending: In Informal Resolution
Negotiation"
14R-14-R4,NC DOT,9/18/2014,Title VI: Race,"Rejected and Referred (USDOT)
4/3/2017: Lack of Jurisdiction"
15U-14-R4,"NC Dept of Public
Safety",10/14/2014,"Unknown (envir
conditions)","Rejected and Referred (NC DEQ)
2/12/2016: Lack of Jurisdiction"
16NO-14-R5,Oneida Reservation,10/14/2014,"Title VI: National
Origin","Rejected and Referred (Oneida
Nation Environmental Office)
4/20/2015: Lack of
Discriminatory Act"
17r-14-R4,"City of Atlanta (GA)
Watershed Mgmt",10/22/2014,Title VI: Retaliation,"Admin Closure 11/13/2014:
Complaint already w/OSHA,
OSHA had sent as courtesy re:
SDWA violation reporting"
18r-14-R4,City of Flovilla (GA),10/23/2014,Title VI: Retaliation,"Rejected 8/28/2015: Lack of
Discriminatory Act"
19NO-14-R1,Mass DEP,10/29/2014,"Title VI: National
Origin","Admin Closure 7/29/2016: Lack
of Discriminatory Act, Lack of
Complainant to Clarify"
20R-14-R4,"City of Chattanooga-
Hamilton Co Air
Pollution Control
Bureau (TN)",11/6/2014,Title VI: Race,"Rejected 2/11/2016:
Discriminatory Act unclear,
untimely filed"
